date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.3,64,40,0.0
01/ENE/2022,03Hs,23.6,43,34,0.0
01/ENE/2022,06Hs,23.4,19,30,0.0
01/ENE/2022,09Hs,24.7,350,14,0.0
01/ENE/2022,12Hs,26.7,318,9,0.0
01/ENE/2022,15Hs,27.5,331,16,0.0
01/ENE/2022,18Hs,28.2,342,15,0.0
01/ENE/2022,21Hs,27.8,5,14,0.0
02/ENE/2022,00Hs,24.4,2,17,0.0
02/ENE/2022,03Hs,22.6,341,21,0.8
02/ENE/2022,06Hs,21.3,332,17,1.9
02/ENE/2022,09Hs,23.3,51,31,0.0
02/ENE/2022,12Hs,25.6,194,8,0.0
02/ENE/2022,15Hs,27.0,137,7,0.3
02/ENE/2022,18Hs,24.3,117,45,0.4
02/ENE/2022,21Hs,22.0,146,59,2.4
03/ENE/2022,00Hs,22.1,56,41,0.5
03/ENE/2022,03Hs,22.5,173,19,0.0
03/ENE/2022,06Hs,22.5,135,17,0.0
03/ENE/2022,09Hs,22.6,137,18,0.0
03/ENE/2022,12Hs,23.5,174,17,0.0
03/ENE/2022,15Hs,24.7,142,17,0.0
03/ENE/2022,18Hs,25.6,137,18,0.0
03/ENE/2022,21Hs,24.7,94,28,0.0
04/ENE/2022,00Hs,25.7,65,20,0.0
04/ENE/2022,03Hs,25.0,23,24,0.0
04/ENE/2022,06Hs,23.8,215,13,0.2
04/ENE/2022,09Hs,24.0,139,12,0.0
04/ENE/2022,12Hs,24.5,69,7,0.0
04/ENE/2022,15Hs,26.1,86,15,0.1
04/ENE/2022,18Hs,26.8,122,14,0.0
04/ENE/2022,21Hs,22.5,129,68,0.0
05/ENE/2022,00Hs,21.6,130,59,0.0
05/ENE/2022,03Hs,21.2,136,42,0.0
05/ENE/2022,06Hs,20.3,143,35,0.0
05/ENE/2022,09Hs,19.7,146,33,0.0
05/ENE/2022,12Hs,21.2,141,33,0.0
05/ENE/2022,15Hs,21.8,129,35,0.0
05/ENE/2022,18Hs,21.3,119,44,0.0
05/ENE/2022,21Hs,21.0,116,49,0.0
