date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,23.9,318,9,0.0
01/ENE/2022,03Hs,22.4,302,8,0.0
01/ENE/2022,06Hs,21.4,337,6,0.0
01/ENE/2022,09Hs,27.6,30,17,0.3
01/ENE/2022,12Hs,29.0,50,22,1.9
01/ENE/2022,15Hs,34.5,66,24,0.9
01/ENE/2022,18Hs,38.7,40,15,0.0
01/ENE/2022,21Hs,20.5,142,24,0.6
02/ENE/2022,00Hs,18.9,281,9,0.0
02/ENE/2022,03Hs,18.9,290,8,0.4
02/ENE/2022,06Hs,18.5,2,11,0.0
02/ENE/2022,09Hs,25.0,35,9,0.1
02/ENE/2022,12Hs,34.5,35,13,0.0
02/ENE/2022,15Hs,38.0,314,10,0.0
02/ENE/2022,18Hs,30.8,74,27,0.0
02/ENE/2022,21Hs,23.1,324,13,0.0
03/ENE/2022,00Hs,23.6,228,10,0.0
03/ENE/2022,03Hs,22.9,192,12,0.0
03/ENE/2022,06Hs,20.6,213,13,0.0
03/ENE/2022,09Hs,26.5,176,14,0.0
03/ENE/2022,12Hs,31.8,107,13,0.0
03/ENE/2022,15Hs,35.9,87,17,0.0
03/ENE/2022,18Hs,35.9,71,23,0.0
03/ENE/2022,21Hs,26.4,240,10,0.0
04/ENE/2022,00Hs,24.3,183,16,0.0
04/ENE/2022,03Hs,18.6,198,12,4.6
04/ENE/2022,06Hs,17.9,184,4,1.7
04/ENE/2022,09Hs,23.7,275,1,0.0
04/ENE/2022,12Hs,27.7,153,13,0.0
04/ENE/2022,15Hs,31.5,143,15,0.0
04/ENE/2022,18Hs,24.0,279,19,0.7
04/ENE/2022,21Hs,21.6,271,13,0.0
05/ENE/2022,00Hs,22.3,239,10,0.0
05/ENE/2022,03Hs,21.5,209,12,0.0
05/ENE/2022,06Hs,20.7,184,14,0.0
05/ENE/2022,09Hs,22.6,176,16,0.0
05/ENE/2022,12Hs,27.7,145,15,0.0
05/ENE/2022,15Hs,29.0,132,12,0.0
05/ENE/2022,18Hs,30.0,119,14,0.0
05/ENE/2022,21Hs,24.3,127,10,0.0
