date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,6.2,333,14,0.5
01/ENE/2022,03Hs,4.8,336,15,0.0
01/ENE/2022,06Hs,4.7,339,11,0.1
01/ENE/2022,09Hs,5.4,341,13,0.2
01/ENE/2022,12Hs,12.6,310,36,0.0
01/ENE/2022,15Hs,14.6,297,51,0.0
01/ENE/2022,18Hs,12.3,288,45,1.4
01/ENE/2022,21Hs,8.6,293,27,7.8
02/ENE/2022,00Hs,9.2,281,47,3.2
02/ENE/2022,03Hs,6.8,285,33,0.0
02/ENE/2022,06Hs,4.9,281,30,0.0
02/ENE/2022,09Hs,6.3,274,43,0.0
02/ENE/2022,12Hs,8.6,261,52,0.0
02/ENE/2022,15Hs,10.9,265,41,0.0
02/ENE/2022,18Hs,10.1,271,26,0.0
02/ENE/2022,21Hs,8.7,282,9,0.0
03/ENE/2022,00Hs,5.6,305,10,0.0
03/ENE/2022,03Hs,3.5,304,10,0.0
03/ENE/2022,06Hs,2.6,334,16,0.0
03/ENE/2022,09Hs,3.8,340,18,0.1
03/ENE/2022,12Hs,11.2,314,27,0.0
03/ENE/2022,15Hs,14.3,292,57,0.1
03/ENE/2022,18Hs,14.1,279,59,0.0
03/ENE/2022,21Hs,10.8,281,32,0.0
04/ENE/2022,00Hs,6.6,282,26,0.0
04/ENE/2022,03Hs,4.8,277,15,0.0
04/ENE/2022,06Hs,3.1,299,9,0.0
04/ENE/2022,09Hs,6.6,294,10,0.0
04/ENE/2022,12Hs,11.6,283,18,0.0
04/ENE/2022,15Hs,14.9,264,19,0.0
04/ENE/2022,18Hs,16.1,274,18,0.0
04/ENE/2022,21Hs,13.5,280,13,0.0
05/ENE/2022,00Hs,9.7,283,11,0.0
05/ENE/2022,03Hs,7.5,289,9,0.0
05/ENE/2022,06Hs,6.5,299,7,0.0
05/ENE/2022,09Hs,10.5,329,6,0.0
05/ENE/2022,12Hs,16.7,46,4,0.0
05/ENE/2022,15Hs,21.2,10,7,0.0
05/ENE/2022,18Hs,22.9,319,7,0.0
05/ENE/2022,21Hs,20.8,306,8,0.0
