date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,9.4,303,46,0.0
01/ENE/2022,03Hs,8.9,313,30,0.0
01/ENE/2022,06Hs,8.6,348,23,0.0
01/ENE/2022,09Hs,11.2,346,39,0.0
01/ENE/2022,12Hs,17.6,334,42,0.0
01/ENE/2022,15Hs,20.9,292,59,0.0
01/ENE/2022,18Hs,16.5,275,78,0.0
01/ENE/2022,21Hs,11.6,287,47,0.0
02/ENE/2022,00Hs,9.1,288,34,0.0
02/ENE/2022,03Hs,8.5,257,34,0.0
02/ENE/2022,06Hs,6.9,249,20,0.0
02/ENE/2022,09Hs,9.5,242,35,0.0
02/ENE/2022,12Hs,12.1,261,39,0.0
02/ENE/2022,15Hs,13.9,272,44,0.0
02/ENE/2022,18Hs,13.9,265,49,0.0
02/ENE/2022,21Hs,11.0,278,33,0.0
03/ENE/2022,00Hs,8.5,292,44,0.0
03/ENE/2022,03Hs,8.1,301,37,0.0
03/ENE/2022,06Hs,7.1,25,22,0.0
03/ENE/2022,09Hs,10.8,321,39,0.0
03/ENE/2022,12Hs,15.4,282,53,0.0
03/ENE/2022,15Hs,17.3,252,50,0.0
03/ENE/2022,18Hs,16.0,257,41,0.0
03/ENE/2022,21Hs,13.3,267,39,0.0
04/ENE/2022,00Hs,10.2,205,25,0.0
04/ENE/2022,03Hs,8.0,194,15,0.0
04/ENE/2022,06Hs,5.1,157,18,0.8
04/ENE/2022,09Hs,5.6,130,3,0.0
04/ENE/2022,12Hs,13.5,218,22,0.0
04/ENE/2022,15Hs,16.9,216,28,0.0
04/ENE/2022,18Hs,15.2,210,29,0.0
04/ENE/2022,21Hs,13.6,259,24,0.0
05/ENE/2022,00Hs,11.0,276,15,0.0
05/ENE/2022,03Hs,8.8,344,7,0.0
05/ENE/2022,06Hs,7.7,337,11,0.0
05/ENE/2022,09Hs,12.6,294,13,0.0
05/ENE/2022,12Hs,19.3,266,24,0.0
05/ENE/2022,15Hs,22.3,273,31,0.0
05/ENE/2022,18Hs,22.5,268,34,0.0
05/ENE/2022,21Hs,19.0,256,28,0.0
