date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.9,88,26,0.0
01/ENE/2022,03Hs,22.3,68,19,0.0
01/ENE/2022,06Hs,21.3,53,16,0.0
01/ENE/2022,09Hs,29.4,11,20,0.0
01/ENE/2022,12Hs,34.1,307,19,0.0
01/ENE/2022,15Hs,33.5,192,8,0.0
01/ENE/2022,18Hs,34.5,358,12,0.0
01/ENE/2022,21Hs,26.9,29,12,0.0
02/ENE/2022,00Hs,23.0,32,7,0.2
02/ENE/2022,03Hs,21.1,328,10,1.1
02/ENE/2022,06Hs,20.9,194,9,0.4
02/ENE/2022,09Hs,23.8,92,18,0.1
02/ENE/2022,12Hs,36.7,48,22,0.0
02/ENE/2022,15Hs,39.9,355,13,0.0
02/ENE/2022,18Hs,40.4,318,17,0.0
02/ENE/2022,21Hs,23.4,90,9,0.8
03/ENE/2022,00Hs,20.1,108,26,1.2
03/ENE/2022,03Hs,18.9,42,7,0.0
03/ENE/2022,06Hs,19.0,143,11,0.0
03/ENE/2022,09Hs,26.6,149,13,0.0
03/ENE/2022,12Hs,33.9,162,13,0.0
03/ENE/2022,15Hs,37.5,170,16,0.0
03/ENE/2022,18Hs,34.8,169,25,0.0
03/ENE/2022,21Hs,30.2,127,19,0.0
04/ENE/2022,00Hs,27.2,100,17,0.0
04/ENE/2022,03Hs,23.9,25,15,0.0
04/ENE/2022,06Hs,19.6,230,16,0.6
04/ENE/2022,09Hs,24.3,98,4,0.6
04/ENE/2022,12Hs,31.7,210,11,0.0
04/ENE/2022,15Hs,33.9,145,20,0.0
04/ENE/2022,18Hs,27.7,68,7,0.0
04/ENE/2022,21Hs,28.0,174,13,0.0
05/ENE/2022,00Hs,22.0,139,36,0.0
05/ENE/2022,03Hs,20.0,133,31,0.0
05/ENE/2022,06Hs,18.6,140,22,0.0
05/ENE/2022,09Hs,24.1,139,23,0.0
05/ENE/2022,12Hs,29.8,168,20,0.0
05/ENE/2022,15Hs,29.7,181,31,0.0
05/ENE/2022,18Hs,28.2,178,35,0.0
05/ENE/2022,21Hs,21.3,147,31,0.0
