date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.5,62,5,0.0
01/ENE/2022,03Hs,19.6,75,4,0.0
01/ENE/2022,06Hs,18.8,69,4,0.0
01/ENE/2022,09Hs,28.9,23,9,0.0
01/ENE/2022,12Hs,35.3,286,11,0.0
01/ENE/2022,15Hs,35.6,283,17,0.0
01/ENE/2022,18Hs,35.2,280,9,0.0
01/ENE/2022,21Hs,27.7,76,6,0.0
02/ENE/2022,00Hs,25.7,35,8,0.0
02/ENE/2022,03Hs,26.3,18,16,0.0
02/ENE/2022,06Hs,24.6,27,16,0.0
02/ENE/2022,09Hs,31.1,4,16,0.0
02/ENE/2022,12Hs,36.5,335,18,0.0
02/ENE/2022,15Hs,38.6,289,17,0.0
02/ENE/2022,18Hs,37.8,358,9,0.0
02/ENE/2022,21Hs,29.6,68,9,0.0
03/ENE/2022,00Hs,28.0,304,5,0.1
03/ENE/2022,03Hs,21.3,111,6,0.9
03/ENE/2022,06Hs,19.7,80,10,1.6
03/ENE/2022,09Hs,28.1,307,8,0.3
03/ENE/2022,12Hs,32.2,277,16,0.3
03/ENE/2022,15Hs,30.1,246,11,1.2
03/ENE/2022,18Hs,22.4,283,16,0.2
03/ENE/2022,21Hs,24.0,108,9,0.0
04/ENE/2022,00Hs,23.9,90,6,0.0
04/ENE/2022,03Hs,20.4,108,2,0.2
04/ENE/2022,06Hs,19.6,355,5,1.8
04/ENE/2022,09Hs,21.6,360,5,1.8
04/ENE/2022,12Hs,24.7,344,5,0.8
04/ENE/2022,15Hs,31.5,235,10,0.7
04/ENE/2022,18Hs,20.4,231,11,4.2
04/ENE/2022,21Hs,20.5,93,9,0.6
05/ENE/2022,00Hs,19.8,221,4,0.0
05/ENE/2022,03Hs,19.4,42,4,0.0
05/ENE/2022,06Hs,19.4,319,0,0.0
05/ENE/2022,09Hs,26.0,349,7,0.0
05/ENE/2022,12Hs,32.1,266,13,0.0
05/ENE/2022,15Hs,34.0,277,11,0.0
05/ENE/2022,18Hs,31.3,259,9,0.0
05/ENE/2022,21Hs,23.7,112,6,0.0
