date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,23.8,256,8,0.0
01/ENE/2022,03Hs,21.4,74,4,0.0
01/ENE/2022,06Hs,20.1,129,6,0.0
01/ENE/2022,09Hs,23.8,241,7,0.2
01/ENE/2022,12Hs,27.8,188,4,0.6
01/ENE/2022,15Hs,31.5,281,16,0.2
01/ENE/2022,18Hs,35.1,305,20,0.0
01/ENE/2022,21Hs,24.7,286,5,0.4
02/ENE/2022,00Hs,20.7,338,7,0.9
02/ENE/2022,03Hs,20.5,283,12,0.4
02/ENE/2022,06Hs,19.0,301,1,0.0
02/ENE/2022,09Hs,26.8,347,5,0.0
02/ENE/2022,12Hs,33.1,335,12,0.0
02/ENE/2022,15Hs,39.1,316,16,0.0
02/ENE/2022,18Hs,38.3,270,24,0.0
02/ENE/2022,21Hs,21.3,98,48,0.1
03/ENE/2022,00Hs,19.0,131,18,0.2
03/ENE/2022,03Hs,17.1,154,10,0.0
03/ENE/2022,06Hs,16.6,134,10,0.0
03/ENE/2022,09Hs,25.9,105,9,0.0
03/ENE/2022,12Hs,34.4,135,9,0.0
03/ENE/2022,15Hs,39.4,66,8,0.0
03/ENE/2022,18Hs,39.3,34,9,0.0
03/ENE/2022,21Hs,29.9,39,6,0.0
04/ENE/2022,00Hs,19.2,220,26,0.6
04/ENE/2022,03Hs,19.4,312,7,0.6
04/ENE/2022,06Hs,19.7,38,3,0.0
04/ENE/2022,09Hs,26.3,227,19,0.0
04/ENE/2022,12Hs,34.1,203,20,0.0
04/ENE/2022,15Hs,37.6,202,29,0.0
04/ENE/2022,18Hs,35.8,198,31,0.0
04/ENE/2022,21Hs,27.0,198,16,0.0
05/ENE/2022,00Hs,20.4,116,35,0.0
05/ENE/2022,03Hs,17.0,113,24,0.0
05/ENE/2022,06Hs,13.8,129,15,0.0
05/ENE/2022,09Hs,20.8,119,18,0.0
05/ENE/2022,12Hs,28.4,140,14,0.0
05/ENE/2022,15Hs,32.2,141,15,0.0
05/ENE/2022,18Hs,32.1,125,16,0.0
05/ENE/2022,21Hs,23.3,104,18,0.0
