date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,24.1,71,12,0.0
01/ENE/2022,03Hs,17.9,170,11,0.2
01/ENE/2022,06Hs,16.5,124,12,1.4
01/ENE/2022,09Hs,21.8,158,16,1.1
01/ENE/2022,12Hs,25.8,145,10,1.5
01/ENE/2022,15Hs,31.0,344,16,0.7
01/ENE/2022,18Hs,31.0,28,8,0.1
01/ENE/2022,21Hs,26.2,191,11,0.0
02/ENE/2022,00Hs,22.1,9,12,0.2
02/ENE/2022,03Hs,19.0,320,12,0.0
02/ENE/2022,06Hs,19.1,246,5,0.0
02/ENE/2022,09Hs,24.7,14,8,0.4
02/ENE/2022,12Hs,32.3,5,16,0.0
02/ENE/2022,15Hs,36.2,336,13,0.0
02/ENE/2022,18Hs,38.1,199,16,0.0
02/ENE/2022,21Hs,23.0,37,11,0.0
03/ENE/2022,00Hs,22.9,170,22,0.0
03/ENE/2022,03Hs,20.6,139,13,0.0
03/ENE/2022,06Hs,17.2,155,6,0.0
03/ENE/2022,09Hs,24.6,130,11,0.0
03/ENE/2022,12Hs,32.5,112,13,0.0
03/ENE/2022,15Hs,36.9,38,12,0.0
03/ENE/2022,18Hs,37.6,331,18,0.0
03/ENE/2022,21Hs,21.9,311,16,6.9
04/ENE/2022,00Hs,19.2,111,9,0.0
04/ENE/2022,03Hs,18.2,221,9,0.0
04/ENE/2022,06Hs,17.2,191,15,0.0
04/ENE/2022,09Hs,25.9,166,26,0.0
04/ENE/2022,12Hs,31.5,174,26,0.0
04/ENE/2022,15Hs,34.6,178,23,0.0
04/ENE/2022,18Hs,34.1,174,25,0.0
04/ENE/2022,21Hs,26.2,169,18,0.0
05/ENE/2022,00Hs,22.9,145,19,0.0
05/ENE/2022,03Hs,19.7,99,31,0.0
05/ENE/2022,06Hs,16.8,92,21,0.0
05/ENE/2022,09Hs,20.8,82,21,0.0
05/ENE/2022,12Hs,27.2,72,15,0.0
05/ENE/2022,15Hs,31.8,98,13,0.0
05/ENE/2022,18Hs,32.3,110,17,0.0
05/ENE/2022,21Hs,24.3,115,15,0.0
