date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,24.4,55,19,0.0
01/ENE/2022,03Hs,23.6,44,18,0.0
01/ENE/2022,06Hs,23.1,31,16,0.0
01/ENE/2022,09Hs,25.1,333,11,0.0
01/ENE/2022,12Hs,32.5,346,19,0.0
01/ENE/2022,15Hs,33.8,328,23,0.0
01/ENE/2022,18Hs,35.0,317,21,0.0
01/ENE/2022,21Hs,28.2,342,5,0.0
02/ENE/2022,00Hs,24.9,144,5,0.0
02/ENE/2022,03Hs,22.6,344,8,0.1
02/ENE/2022,06Hs,22.1,319,10,0.2
02/ENE/2022,09Hs,22.8,340,8,2.2
02/ENE/2022,12Hs,32.1,20,18,0.0
02/ENE/2022,15Hs,34.8,31,16,0.0
02/ENE/2022,18Hs,24.4,176,31,1.0
02/ENE/2022,21Hs,19.5,118,10,8.1
03/ENE/2022,00Hs,19.9,147,5,0.0
03/ENE/2022,03Hs,18.5,184,5,0.0
03/ENE/2022,06Hs,17.9,146,6,0.0
03/ENE/2022,09Hs,25.5,76,7,0.0
03/ENE/2022,12Hs,33.4,201,7,0.0
03/ENE/2022,15Hs,35.8,73,10,0.0
03/ENE/2022,18Hs,30.9,70,18,0.0
03/ENE/2022,21Hs,24.6,92,14,0.0
04/ENE/2022,00Hs,25.3,64,19,0.0
04/ENE/2022,03Hs,24.6,35,18,0.0
04/ENE/2022,06Hs,22.6,199,5,0.0
04/ENE/2022,09Hs,27.6,152,7,0.3
04/ENE/2022,12Hs,31.7,269,12,0.0
04/ENE/2022,15Hs,35.0,207,13,0.0
04/ENE/2022,18Hs,35.3,199,23,0.0
04/ENE/2022,21Hs,21.3,136,33,0.0
05/ENE/2022,00Hs,18.8,140,21,0.0
05/ENE/2022,03Hs,16.2,161,12,0.0
05/ENE/2022,06Hs,14.0,168,12,0.0
05/ENE/2022,09Hs,20.6,140,16,0.0
05/ENE/2022,12Hs,26.7,131,13,0.0
05/ENE/2022,15Hs,27.8,99,22,0.0
05/ENE/2022,18Hs,24.3,106,25,0.0
05/ENE/2022,21Hs,18.7,106,21,0.0
