date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,17.8,158,10,0.0
01/ENE/2022,03Hs,15.5,275,8,0.0
01/ENE/2022,06Hs,13.2,253,7,0.0
01/ENE/2022,09Hs,17.7,321,19,0.0
01/ENE/2022,12Hs,22.3,341,25,0.0
01/ENE/2022,15Hs,26.5,266,40,0.0
01/ENE/2022,18Hs,24.6,263,46,0.0
01/ENE/2022,21Hs,19.8,262,46,0.0
02/ENE/2022,00Hs,18.6,263,40,0.0
02/ENE/2022,03Hs,17.1,276,22,0.0
02/ENE/2022,06Hs,14.9,266,10,0.0
02/ENE/2022,09Hs,19.1,288,24,0.0
02/ENE/2022,12Hs,22.9,278,35,0.0
02/ENE/2022,15Hs,25.2,278,45,0.0
02/ENE/2022,18Hs,24.0,276,38,0.0
02/ENE/2022,21Hs,20.0,249,44,0.0
03/ENE/2022,00Hs,17.8,22,8,0.0
03/ENE/2022,03Hs,15.2,324,24,0.0
03/ENE/2022,06Hs,12.7,335,20,0.0
03/ENE/2022,09Hs,15.0,347,22,0.0
03/ENE/2022,12Hs,21.7,5,17,0.0
03/ENE/2022,15Hs,28.1,271,47,0.0
03/ENE/2022,18Hs,25.1,270,49,0.0
03/ENE/2022,21Hs,20.8,250,33,0.0
04/ENE/2022,00Hs,18.3,246,30,0.0
04/ENE/2022,03Hs,15.9,308,5,0.0
04/ENE/2022,06Hs,14.2,327,15,0.0
04/ENE/2022,09Hs,17.2,334,25,0.0
04/ENE/2022,12Hs,21.5,349,15,0.0
04/ENE/2022,15Hs,26.4,26,22,0.0
04/ENE/2022,18Hs,28.1,37,22,0.0
04/ENE/2022,21Hs,25.3,50,13,0.0
05/ENE/2022,00Hs,21.3,50,24,0.1
05/ENE/2022,03Hs,20.1,25,21,0.0
05/ENE/2022,06Hs,18.1,348,20,0.0
05/ENE/2022,09Hs,18.3,356,28,0.0
05/ENE/2022,12Hs,23.1,11,29,0.0
05/ENE/2022,15Hs,26.2,20,39,0.0
05/ENE/2022,18Hs,25.3,318,31,0.0
05/ENE/2022,21Hs,18.4,9,26,0.4
