date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,11.3,268,45,0.0
01/ENE/2022,03Hs,10.2,268,46,0.0
01/ENE/2022,06Hs,9.7,267,37,0.0
01/ENE/2022,09Hs,12.6,282,45,0.0
01/ENE/2022,12Hs,15.1,280,51,0.0
01/ENE/2022,15Hs,17.7,282,59,0.0
01/ENE/2022,18Hs,16.5,282,58,0.0
01/ENE/2022,21Hs,12.6,292,48,0.0
02/ENE/2022,00Hs,13.6,295,47,0.0
02/ENE/2022,03Hs,12.4,288,42,0.2
02/ENE/2022,06Hs,11.3,278,45,0.5
02/ENE/2022,09Hs,12.4,278,53,0.0
02/ENE/2022,12Hs,16.1,258,60,0.0
02/ENE/2022,15Hs,19.0,258,55,0.0
02/ENE/2022,18Hs,18.2,258,52,0.0
02/ENE/2022,21Hs,14.7,267,40,0.0
03/ENE/2022,00Hs,11.6,266,35,0.0
03/ENE/2022,03Hs,11.5,300,25,0.0
03/ENE/2022,06Hs,10.0,281,31,0.0
03/ENE/2022,09Hs,12.7,273,45,0.0
03/ENE/2022,12Hs,17.2,285,59,0.0
03/ENE/2022,15Hs,20.8,275,66,0.0
03/ENE/2022,18Hs,16.5,279,56,0.0
03/ENE/2022,21Hs,14.7,276,55,0.0
04/ENE/2022,00Hs,12.8,277,47,0.0
04/ENE/2022,03Hs,11.0,271,53,0.0
04/ENE/2022,06Hs,8.5,263,37,0.0
04/ENE/2022,09Hs,11.3,256,37,0.0
04/ENE/2022,12Hs,16.1,226,36,0.0
04/ENE/2022,15Hs,21.2,228,26,0.0
04/ENE/2022,18Hs,22.6,226,22,0.0
04/ENE/2022,21Hs,19.6,219,21,0.0
05/ENE/2022,00Hs,16.5,222,11,0.0
05/ENE/2022,03Hs,14.2,128,6,0.0
05/ENE/2022,06Hs,10.7,38,8,0.0
05/ENE/2022,09Hs,15.2,44,9,0.0
05/ENE/2022,12Hs,20.5,7,5,0.0
05/ENE/2022,15Hs,25.9,80,6,0.0
05/ENE/2022,18Hs,28.3,318,7,0.0
05/ENE/2022,21Hs,24.5,156,11,0.0
