date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,19.7,25,26,0.0
01/ENE/2022,03Hs,19.2,11,16,0.0
01/ENE/2022,06Hs,17.7,324,10,0.0
01/ENE/2022,09Hs,27.9,339,32,0.0
01/ENE/2022,12Hs,35.2,290,29,0.0
01/ENE/2022,15Hs,34.0,268,17,0.0
01/ENE/2022,18Hs,24.7,134,31,0.0
01/ENE/2022,21Hs,18.7,159,16,0.0
02/ENE/2022,00Hs,16.6,138,11,0.0
02/ENE/2022,03Hs,17.0,45,9,0.0
02/ENE/2022,06Hs,17.0,307,8,0.0
02/ENE/2022,09Hs,24.2,302,15,0.0
02/ENE/2022,12Hs,33.0,273,6,0.0
02/ENE/2022,15Hs,36.6,110,11,0.0
02/ENE/2022,18Hs,27.4,84,31,0.0
02/ENE/2022,21Hs,17.7,143,11,0.0
03/ENE/2022,00Hs,17.7,102,12,0.0
03/ENE/2022,03Hs,16.0,40,12,0.0
03/ENE/2022,06Hs,14.8,282,6,0.0
03/ENE/2022,09Hs,24.5,333,9,0.0
03/ENE/2022,12Hs,33.2,313,16,0.0
03/ENE/2022,15Hs,37.2,268,22,0.0
03/ENE/2022,18Hs,36.7,251,22,0.0
03/ENE/2022,21Hs,21.8,98,14,0.0
04/ENE/2022,00Hs,18.5,54,12,0.0
04/ENE/2022,03Hs,18.3,0,9,0.0
04/ENE/2022,06Hs,19.1,303,13,0.0
04/ENE/2022,09Hs,29.3,250,21,0.0
04/ENE/2022,12Hs,34.5,243,24,0.0
04/ENE/2022,15Hs,35.5,233,33,0.0
04/ENE/2022,18Hs,22.2,175,36,0.0
04/ENE/2022,21Hs,16.0,170,21,0.0
05/ENE/2022,00Hs,11.4,191,12,0.0
05/ENE/2022,03Hs,10.4,207,9,0.0
05/ENE/2022,06Hs,10.3,219,10,0.0
05/ENE/2022,09Hs,19.5,154,13,0.0
05/ENE/2022,12Hs,24.4,129,20,0.0
05/ENE/2022,15Hs,24.9,121,27,0.0
05/ENE/2022,18Hs,20.6,114,23,0.0
05/ENE/2022,21Hs,13.3,90,12,0.0
