date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.9,135,8,0.0
01/ENE/2022,03Hs,24.2,158,16,0.0
01/ENE/2022,06Hs,19.9,174,30,0.0
01/ENE/2022,09Hs,20.7,165,25,0.0
01/ENE/2022,12Hs,24.4,151,17,0.0
01/ENE/2022,15Hs,28.2,110,10,0.0
01/ENE/2022,18Hs,30.3,96,19,0.0
01/ENE/2022,21Hs,26.7,98,16,0.0
02/ENE/2022,00Hs,23.9,77,4,0.0
02/ENE/2022,03Hs,21.9,111,6,0.0
02/ENE/2022,06Hs,19.7,80,1,0.0
02/ENE/2022,09Hs,25.1,220,10,0.0
02/ENE/2022,12Hs,30.2,41,10,0.0
02/ENE/2022,15Hs,34.1,62,14,0.0
02/ENE/2022,18Hs,35.0,85,21,0.0
02/ENE/2022,21Hs,30.3,84,20,0.0
03/ENE/2022,00Hs,26.5,94,8,0.0
03/ENE/2022,03Hs,21.2,171,14,0.0
03/ENE/2022,06Hs,19.5,174,14,0.0
03/ENE/2022,09Hs,21.7,153,19,0.0
03/ENE/2022,12Hs,25.7,113,18,0.0
03/ENE/2022,15Hs,29.0,149,10,0.0
03/ENE/2022,18Hs,31.5,130,12,0.0
03/ENE/2022,21Hs,28.3,119,11,0.0
04/ENE/2022,00Hs,26.3,191,10,0.0
04/ENE/2022,03Hs,23.7,135,26,0.0
04/ENE/2022,06Hs,20.3,223,22,0.0
04/ENE/2022,09Hs,22.2,158,19,0.0
04/ENE/2022,12Hs,26.1,117,16,0.0
04/ENE/2022,15Hs,29.6,99,21,0.0
04/ENE/2022,18Hs,30.5,113,17,0.0
04/ENE/2022,21Hs,27.3,110,22,0.0
05/ENE/2022,00Hs,23.9,90,12,0.2
05/ENE/2022,03Hs,23.6,203,12,0.0
05/ENE/2022,06Hs,21.6,194,11,0.0
05/ENE/2022,09Hs,24.3,109,10,0.0
05/ENE/2022,12Hs,28.4,47,21,0.0
05/ENE/2022,15Hs,28.8,54,23,0.0
05/ENE/2022,18Hs,27.3,43,30,0.6
05/ENE/2022,21Hs,26.0,42,29,0.1
