date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,26.9,72,16,0.0
01/ENE/2022,03Hs,25.4,38,15,0.0
01/ENE/2022,06Hs,23.4,20,11,0.0
01/ENE/2022,09Hs,33.5,13,20,0.0
01/ENE/2022,12Hs,39.1,16,23,0.0
01/ENE/2022,15Hs,40.2,18,19,0.0
01/ENE/2022,18Hs,40.6,27,16,0.0
01/ENE/2022,21Hs,32.1,54,16,0.0
02/ENE/2022,00Hs,29.9,32,16,0.0
02/ENE/2022,03Hs,27.4,284,10,0.0
02/ENE/2022,06Hs,27.0,73,10,0.0
02/ENE/2022,09Hs,31.7,14,15,0.0
02/ENE/2022,12Hs,38.5,8,21,0.0
02/ENE/2022,15Hs,39.9,343,20,0.0
02/ENE/2022,18Hs,23.7,235,41,1.0
02/ENE/2022,21Hs,26.4,355,13,0.2
03/ENE/2022,00Hs,23.0,60,15,2.5
03/ENE/2022,03Hs,22.3,19,14,0.1
03/ENE/2022,06Hs,21.6,82,7,0.6
03/ENE/2022,09Hs,28.4,28,15,0.0
03/ENE/2022,12Hs,35.6,345,15,0.0
03/ENE/2022,15Hs,39.3,12,10,0.0
03/ENE/2022,18Hs,36.7,73,16,0.0
03/ENE/2022,21Hs,26.0,301,13,0.7
04/ENE/2022,00Hs,22.3,115,25,1.4
04/ENE/2022,03Hs,22.3,60,25,0.0
04/ENE/2022,06Hs,20.5,61,12,2.8
04/ENE/2022,09Hs,26.5,349,15,0.8
04/ENE/2022,12Hs,33.4,281,16,0.0
04/ENE/2022,15Hs,37.1,238,18,0.0
04/ENE/2022,18Hs,28.3,187,41,0.2
04/ENE/2022,21Hs,24.5,94,16,0.6
05/ENE/2022,00Hs,23.5,78,19,0.0
05/ENE/2022,03Hs,21.9,3,6,0.0
05/ENE/2022,06Hs,21.2,152,15,0.0
05/ENE/2022,09Hs,26.3,154,25,0.0
05/ENE/2022,12Hs,32.5,142,24,0.0
05/ENE/2022,15Hs,35.9,160,33,0.0
05/ENE/2022,18Hs,34.4,144,20,0.0
05/ENE/2022,21Hs,29.7,113,22,0.0
