date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,24.6,358,1,0.0
01/ENE/2022,03Hs,22.2,307,2,0.0
01/ENE/2022,06Hs,21.3,339,2,0.0
01/ENE/2022,09Hs,27.1,58,13,0.0
01/ENE/2022,12Hs,35.5,52,26,0.0
01/ENE/2022,15Hs,39.8,61,22,0.0
01/ENE/2022,18Hs,38.4,55,26,0.0
01/ENE/2022,21Hs,21.8,186,10,1.6
02/ENE/2022,00Hs,21.3,222,4,0.1
02/ENE/2022,03Hs,20.0,274,9,0.6
02/ENE/2022,06Hs,20.5,241,9,0.0
02/ENE/2022,09Hs,27.2,106,7,0.3
02/ENE/2022,12Hs,33.3,73,20,0.0
02/ENE/2022,15Hs,37.7,67,22,0.0
02/ENE/2022,18Hs,37.3,70,24,0.0
02/ENE/2022,21Hs,19.6,285,5,11.1
03/ENE/2022,00Hs,19.1,240,15,0.7
03/ENE/2022,03Hs,20.4,206,8,0.8
03/ENE/2022,06Hs,18.2,241,12,0.0
03/ENE/2022,09Hs,25.4,151,9,0.0
03/ENE/2022,12Hs,30.1,77,8,0.0
03/ENE/2022,15Hs,34.1,88,15,0.0
03/ENE/2022,18Hs,33.0,92,3,0.0
03/ENE/2022,21Hs,25.3,295,4,0.0
04/ENE/2022,00Hs,23.6,43,2,0.0
04/ENE/2022,03Hs,21.0,105,1,0.2
04/ENE/2022,06Hs,20.3,230,3,0.0
04/ENE/2022,09Hs,26.9,219,7,0.0
04/ENE/2022,12Hs,28.8,209,10,0.8
04/ENE/2022,15Hs,25.6,201,10,2.5
04/ENE/2022,18Hs,23.2,244,12,4.1
04/ENE/2022,21Hs,19.8,244,10,1.5
05/ENE/2022,00Hs,18.9,250,10,0.0
05/ENE/2022,03Hs,19.1,250,7,0.0
05/ENE/2022,06Hs,17.8,252,10,0.5
05/ENE/2022,09Hs,24.1,229,8,0.0
05/ENE/2022,12Hs,29.4,100,7,0.0
05/ENE/2022,15Hs,26.9,109,11,0.4
05/ENE/2022,18Hs,19.9,244,14,2.8
05/ENE/2022,21Hs,19.0,248,13,1.6
