date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,26.8,42,14,0.0
01/ENE/2022,03Hs,25.0,43,11,0.0
01/ENE/2022,06Hs,23.1,44,13,0.0
01/ENE/2022,09Hs,33.6,17,20,0.0
01/ENE/2022,12Hs,39.4,18,23,0.0
01/ENE/2022,15Hs,40.3,15,16,0.0
01/ENE/2022,18Hs,40.4,46,18,0.0
01/ENE/2022,21Hs,33.2,89,14,0.0
02/ENE/2022,00Hs,27.9,93,14,0.0
02/ENE/2022,03Hs,25.8,147,7,0.0
02/ENE/2022,06Hs,24.5,81,8,0.2
02/ENE/2022,09Hs,33.6,9,13,0.0
02/ENE/2022,12Hs,38.8,3,19,0.0
02/ENE/2022,15Hs,42.4,347,27,0.0
02/ENE/2022,18Hs,28.6,309,38,0.0
02/ENE/2022,21Hs,26.2,208,17,0.2
03/ENE/2022,00Hs,24.3,358,31,0.6
03/ENE/2022,03Hs,20.9,164,17,1.8
03/ENE/2022,06Hs,21.5,12,11,0.1
03/ENE/2022,09Hs,28.8,9,16,0.0
03/ENE/2022,12Hs,36.2,10,15,0.0
03/ENE/2022,15Hs,39.9,15,13,0.0
03/ENE/2022,18Hs,39.5,1,17,0.0
03/ENE/2022,21Hs,23.8,194,24,0.7
04/ENE/2022,00Hs,23.0,76,24,0.4
04/ENE/2022,03Hs,22.7,65,23,0.0
04/ENE/2022,06Hs,21.1,42,17,1.3
04/ENE/2022,09Hs,27.1,355,17,0.1
04/ENE/2022,12Hs,33.8,294,16,0.0
04/ENE/2022,15Hs,37.8,236,16,0.0
04/ENE/2022,18Hs,29.3,159,33,0.2
04/ENE/2022,21Hs,24.6,65,14,0.2
05/ENE/2022,00Hs,21.8,63,20,0.0
05/ENE/2022,03Hs,21.3,307,8,0.0
05/ENE/2022,06Hs,20.1,167,16,0.0
05/ENE/2022,09Hs,25.7,149,27,0.0
05/ENE/2022,12Hs,31.8,139,26,0.0
05/ENE/2022,15Hs,35.3,127,22,0.0
05/ENE/2022,18Hs,34.5,152,27,0.0
05/ENE/2022,21Hs,27.9,108,19,0.0
