date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.4,46,4,0.0
01/ENE/2022,03Hs,19.7,352,3,0.0
01/ENE/2022,06Hs,18.9,358,4,0.0
01/ENE/2022,09Hs,30.4,12,4,0.0
01/ENE/2022,12Hs,36.9,9,2,0.0
01/ENE/2022,15Hs,38.4,192,4,0.0
01/ENE/2022,18Hs,36.2,143,8,0.0
01/ENE/2022,21Hs,26.0,62,4,0.0
02/ENE/2022,00Hs,23.7,56,4,0.0
02/ENE/2022,03Hs,23.5,16,5,0.0
02/ENE/2022,06Hs,22.9,4,7,0.0
02/ENE/2022,09Hs,30.6,358,14,0.0
02/ENE/2022,12Hs,36.3,339,12,0.0
02/ENE/2022,15Hs,39.7,7,8,0.0
02/ENE/2022,18Hs,28.7,283,18,0.0
02/ENE/2022,21Hs,26.6,254,10,0.2
03/ENE/2022,00Hs,19.4,144,4,0.7
03/ENE/2022,03Hs,19.3,71,2,0.2
03/ENE/2022,06Hs,21.8,50,10,0.1
03/ENE/2022,09Hs,21.7,33,7,0.8
03/ENE/2022,12Hs,29.3,28,8,0.0
03/ENE/2022,15Hs,24.2,319,11,0.2
03/ENE/2022,18Hs,25.5,341,3,0.4
03/ENE/2022,21Hs,21.6,73,4,0.0
04/ENE/2022,00Hs,23.6,62,7,0.0
04/ENE/2022,03Hs,19.5,64,4,0.2
04/ENE/2022,06Hs,18.5,211,1,3.0
04/ENE/2022,09Hs,19.4,123,4,1.7
04/ENE/2022,12Hs,23.2,33,6,0.0
04/ENE/2022,15Hs,20.9,56,5,0.2
04/ENE/2022,18Hs,24.9,28,3,0.0
04/ENE/2022,21Hs,19.9,183,2,0.2
05/ENE/2022,00Hs,19.8,109,4,0.0
05/ENE/2022,03Hs,18.4,112,0,0.0
05/ENE/2022,06Hs,18.2,32,2,0.0
05/ENE/2022,09Hs,25.7,241,6,0.0
05/ENE/2022,12Hs,31.1,185,7,0.0
05/ENE/2022,15Hs,31.2,186,5,0.0
05/ENE/2022,18Hs,30.3,112,12,0.0
05/ENE/2022,21Hs,21.8,141,6,1.0
