date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,27.1,81,10,0.0
01/ENE/2022,03Hs,26.6,55,14,0.0
01/ENE/2022,06Hs,24.8,354,10,0.0
01/ENE/2022,09Hs,31.6,5,6,0.0
01/ENE/2022,12Hs,34.1,308,19,0.0
01/ENE/2022,15Hs,35.9,26,12,0.0
01/ENE/2022,18Hs,35.9,116,23,0.0
01/ENE/2022,21Hs,24.8,19,15,0.4
02/ENE/2022,00Hs,20.2,273,19,1.2
02/ENE/2022,03Hs,23.1,46,9,0.2
02/ENE/2022,06Hs,20.9,79,15,0.0
02/ENE/2022,09Hs,30.6,93,12,0.1
02/ENE/2022,12Hs,37.9,12,9,0.0
02/ENE/2022,15Hs,41.5,311,21,0.0
02/ENE/2022,18Hs,41.1,260,19,0.0
02/ENE/2022,21Hs,27.9,24,16,0.0
03/ENE/2022,00Hs,22.5,121,24,0.1
03/ENE/2022,03Hs,20.7,86,18,0.0
03/ENE/2022,06Hs,19.3,109,9,0.0
03/ENE/2022,09Hs,28.1,123,11,0.0
03/ENE/2022,12Hs,36.2,103,12,0.0
03/ENE/2022,15Hs,40.6,113,11,0.0
03/ENE/2022,18Hs,40.2,132,15,0.0
03/ENE/2022,21Hs,31.2,56,10,0.0
04/ENE/2022,00Hs,27.1,66,18,0.0
04/ENE/2022,03Hs,19.6,167,25,2.1
04/ENE/2022,06Hs,18.9,171,9,0.8
04/ENE/2022,09Hs,24.5,88,10,0.2
04/ENE/2022,12Hs,32.9,217,14,0.0
04/ENE/2022,15Hs,36.8,216,20,0.0
04/ENE/2022,18Hs,36.8,191,17,0.0
04/ENE/2022,21Hs,33.0,175,24,0.0
05/ENE/2022,00Hs,26.2,152,15,0.0
05/ENE/2022,03Hs,20.7,132,30,0.0
05/ENE/2022,06Hs,18.9,129,27,0.0
05/ENE/2022,09Hs,23.8,119,27,0.0
05/ENE/2022,12Hs,30.6,126,20,0.0
05/ENE/2022,15Hs,34.8,142,17,0.0
05/ENE/2022,18Hs,34.1,142,22,0.0
05/ENE/2022,21Hs,25.9,128,19,0.0
