date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,14.4,284,38,0.0
01/ENE/2022,03Hs,12.8,284,34,0.0
01/ENE/2022,06Hs,12.2,298,34,0.0
01/ENE/2022,09Hs,15.0,304,41,0.0
01/ENE/2022,12Hs,17.6,306,51,0.0
01/ENE/2022,15Hs,19.4,307,51,0.0
01/ENE/2022,18Hs,22.1,289,66,0.0
01/ENE/2022,21Hs,17.9,274,41,0.0
02/ENE/2022,00Hs,14.5,276,38,0.0
02/ENE/2022,03Hs,12.4,265,37,0.0
02/ENE/2022,06Hs,11.0,276,38,0.0
02/ENE/2022,09Hs,10.4,247,45,0.0
02/ENE/2022,12Hs,13.3,259,50,0.0
02/ENE/2022,15Hs,16.4,256,60,0.0
02/ENE/2022,18Hs,16.4,254,50,0.0
02/ENE/2022,21Hs,13.3,243,39,0.0
03/ENE/2022,00Hs,12.4,260,23,0.0
03/ENE/2022,03Hs,12.5,314,20,0.0
03/ENE/2022,06Hs,12.3,319,32,0.0
03/ENE/2022,09Hs,15.0,305,47,0.0
03/ENE/2022,12Hs,18.2,300,56,0.0
03/ENE/2022,15Hs,21.4,289,52,0.0
03/ENE/2022,18Hs,22.3,262,71,0.0
03/ENE/2022,21Hs,15.4,269,69,0.0
04/ENE/2022,00Hs,11.3,268,72,0.0
04/ENE/2022,03Hs,9.4,259,55,0.0
04/ENE/2022,06Hs,9.3,253,53,0.0
04/ENE/2022,09Hs,12.3,240,61,0.0
04/ENE/2022,12Hs,17.3,236,39,0.0
04/ENE/2022,15Hs,21.1,250,34,0.0
04/ENE/2022,18Hs,22.6,251,31,0.0
04/ENE/2022,21Hs,20.4,241,29,0.0
05/ENE/2022,00Hs,16.2,228,29,0.0
05/ENE/2022,03Hs,14.3,227,19,0.0
05/ENE/2022,06Hs,13.0,244,5,0.0
05/ENE/2022,09Hs,17.0,257,2,0.0
05/ENE/2022,12Hs,21.4,226,10,0.0
05/ENE/2022,15Hs,26.1,218,10,0.0
05/ENE/2022,18Hs,28.5,220,18,0.0
05/ENE/2022,21Hs,27.2,191,9,0.0
