date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,27.6,20,8,0.0
01/ENE/2022,03Hs,25.5,84,16,0.0
01/ENE/2022,06Hs,23.5,51,11,0.0
01/ENE/2022,09Hs,32.6,19,16,0.0
01/ENE/2022,12Hs,39.2,20,21,0.0
01/ENE/2022,15Hs,41.3,24,17,0.0
01/ENE/2022,18Hs,40.2,19,14,0.0
01/ENE/2022,21Hs,32.0,74,15,0.0
02/ENE/2022,00Hs,30.5,55,14,0.0
02/ENE/2022,03Hs,26.8,75,19,0.0
02/ENE/2022,06Hs,24.1,205,4,0.0
02/ENE/2022,09Hs,33.4,3,20,0.0
02/ENE/2022,12Hs,38.9,312,20,0.0
02/ENE/2022,15Hs,40.3,303,9,0.0
02/ENE/2022,18Hs,40.6,339,9,0.0
02/ENE/2022,21Hs,27.7,140,17,0.2
03/ENE/2022,00Hs,24.0,332,24,0.3
03/ENE/2022,03Hs,23.1,83,12,0.0
03/ENE/2022,06Hs,23.3,16,9,0.0
03/ENE/2022,09Hs,29.5,9,17,0.0
03/ENE/2022,12Hs,35.4,9,16,0.0
03/ENE/2022,15Hs,39.1,31,14,0.0
03/ENE/2022,18Hs,38.6,39,20,0.0
03/ENE/2022,21Hs,25.8,22,33,0.0
04/ENE/2022,00Hs,22.7,128,14,4.1
04/ENE/2022,03Hs,22.6,67,20,0.4
04/ENE/2022,06Hs,21.7,64,19,1.1
04/ENE/2022,09Hs,27.2,31,22,0.2
04/ENE/2022,12Hs,33.9,286,16,0.0
04/ENE/2022,15Hs,34.9,212,15,0.1
04/ENE/2022,18Hs,28.0,69,19,0.7
04/ENE/2022,21Hs,22.7,76,24,4.0
05/ENE/2022,00Hs,20.1,83,13,0.1
05/ENE/2022,03Hs,21.1,256,8,0.0
05/ENE/2022,06Hs,20.0,178,13,0.0
05/ENE/2022,09Hs,25.9,139,24,0.0
05/ENE/2022,12Hs,31.4,138,29,0.0
05/ENE/2022,15Hs,33.2,134,24,0.0
05/ENE/2022,18Hs,32.9,128,30,0.0
05/ENE/2022,21Hs,26.9,131,19,0.0
