date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.8,45,4,0.0
01/ENE/2022,03Hs,20.3,49,4,0.0
01/ENE/2022,06Hs,19.2,52,6,0.0
01/ENE/2022,09Hs,28.9,30,8,0.0
01/ENE/2022,12Hs,37.0,34,6,0.0
01/ENE/2022,15Hs,39.2,45,7,0.0
01/ENE/2022,18Hs,37.9,24,6,0.0
01/ENE/2022,21Hs,27.7,103,5,0.0
02/ENE/2022,00Hs,24.3,78,3,0.0
02/ENE/2022,03Hs,22.0,47,7,0.0
02/ENE/2022,06Hs,22.7,46,8,0.0
02/ENE/2022,09Hs,30.3,22,13,0.0
02/ENE/2022,12Hs,38.4,1,11,0.0
02/ENE/2022,15Hs,41.9,347,8,0.0
02/ENE/2022,18Hs,28.2,66,19,0.6
02/ENE/2022,21Hs,19.7,306,7,0.9
03/ENE/2022,00Hs,20.1,33,8,1.3
03/ENE/2022,03Hs,20.3,67,4,0.0
03/ENE/2022,06Hs,21.5,45,8,0.1
03/ENE/2022,09Hs,23.7,16,7,0.4
03/ENE/2022,12Hs,33.3,26,10,0.1
03/ENE/2022,15Hs,22.6,43,14,1.3
03/ENE/2022,18Hs,25.5,129,6,1.3
03/ENE/2022,21Hs,23.0,95,4,0.1
04/ENE/2022,00Hs,22.3,80,2,0.0
04/ENE/2022,03Hs,21.0,63,2,0.3
04/ENE/2022,06Hs,19.4,63,5,1.1
04/ENE/2022,09Hs,24.6,36,8,0.2
04/ENE/2022,12Hs,26.8,35,12,0.0
04/ENE/2022,15Hs,28.3,36,10,0.0
04/ENE/2022,18Hs,29.6,51,9,0.0
04/ENE/2022,21Hs,22.3,142,7,0.4
05/ENE/2022,00Hs,20.6,131,3,0.4
05/ENE/2022,03Hs,19.0,75,1,0.4
05/ENE/2022,06Hs,18.7,54,1,0.0
05/ENE/2022,09Hs,25.5,155,2,0.0
05/ENE/2022,12Hs,31.2,214,6,0.0
05/ENE/2022,15Hs,34.6,182,9,0.0
05/ENE/2022,18Hs,33.6,182,9,0.0
05/ENE/2022,21Hs,26.7,129,10,0.0
