date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,19.6,252,39,0.0
01/ENE/2022,03Hs,18.5,265,36,0.0
01/ENE/2022,06Hs,16.6,255,32,0.0
01/ENE/2022,09Hs,20.3,268,30,0.0
01/ENE/2022,12Hs,25.6,283,32,0.0
01/ENE/2022,15Hs,26.8,295,45,0.0
01/ENE/2022,18Hs,24.4,279,55,0.0
01/ENE/2022,21Hs,21.9,290,57,0.0
02/ENE/2022,00Hs,20.3,287,52,0.0
02/ENE/2022,03Hs,19.4,276,50,0.0
02/ENE/2022,06Hs,18.4,263,33,0.0
02/ENE/2022,09Hs,19.8,265,49,0.0
02/ENE/2022,12Hs,19.6,242,52,0.0
02/ENE/2022,15Hs,19.1,236,45,0.0
02/ENE/2022,18Hs,21.4,241,50,0.0
02/ENE/2022,21Hs,19.1,235,34,0.0
03/ENE/2022,00Hs,16.1,249,15,0.0
03/ENE/2022,03Hs,14.1,281,12,0.0
03/ENE/2022,06Hs,15.6,9,20,0.0
03/ENE/2022,09Hs,18.6,282,36,0.0
03/ENE/2022,12Hs,20.8,298,39,0.0
03/ENE/2022,15Hs,28.3,263,44,0.0
03/ENE/2022,18Hs,26.9,258,55,0.0
03/ENE/2022,21Hs,24.3,242,39,0.0
04/ENE/2022,00Hs,20.1,257,36,0.0
04/ENE/2022,03Hs,15.3,225,42,0.0
04/ENE/2022,06Hs,13.6,244,46,0.0
04/ENE/2022,09Hs,15.9,238,55,0.0
04/ENE/2022,12Hs,20.0,231,41,0.0
04/ENE/2022,15Hs,23.8,224,35,0.0
04/ENE/2022,18Hs,24.0,162,22,0.0
04/ENE/2022,21Hs,14.8,87,30,0.0
05/ENE/2022,00Hs,14.2,38,24,0.0
05/ENE/2022,03Hs,13.2,8,25,0.0
05/ENE/2022,06Hs,13.4,349,23,0.0
05/ENE/2022,09Hs,20.7,249,22,0.0
05/ENE/2022,12Hs,25.0,243,17,0.0
05/ENE/2022,15Hs,28.5,226,15,0.0
05/ENE/2022,18Hs,29.6,213,8,0.0
05/ENE/2022,21Hs,23.3,67,23,0.0
