date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,26.9,55,8,0.0
01/ENE/2022,03Hs,24.9,46,14,0.0
01/ENE/2022,06Hs,23.3,29,13,0.0
01/ENE/2022,09Hs,27.0,13,15,1.0
01/ENE/2022,12Hs,37.0,349,22,0.6
01/ENE/2022,15Hs,35.9,25,13,0.2
01/ENE/2022,18Hs,35.8,29,13,0.8
01/ENE/2022,21Hs,22.1,33,27,1.4
02/ENE/2022,00Hs,20.4,147,11,2.8
02/ENE/2022,03Hs,19.1,115,13,0.6
02/ENE/2022,06Hs,18.7,118,5,0.1
02/ENE/2022,09Hs,25.2,114,7,0.0
02/ENE/2022,12Hs,36.8,359,15,0.0
02/ENE/2022,15Hs,40.0,314,17,0.0
02/ENE/2022,18Hs,38.5,273,17,0.0
02/ENE/2022,21Hs,27.8,263,10,0.0
03/ENE/2022,00Hs,25.0,69,8,0.0
03/ENE/2022,03Hs,22.9,314,9,0.0
03/ENE/2022,06Hs,20.8,241,6,0.0
03/ENE/2022,09Hs,27.4,109,15,0.0
03/ENE/2022,12Hs,35.4,30,12,0.0
03/ENE/2022,15Hs,39.3,27,11,0.0
03/ENE/2022,18Hs,39.3,49,13,0.0
03/ENE/2022,21Hs,30.5,6,9,0.0
04/ENE/2022,00Hs,26.8,276,7,0.0
04/ENE/2022,03Hs,19.8,161,23,1.1
04/ENE/2022,06Hs,19.1,132,20,0.6
04/ENE/2022,09Hs,23.5,71,17,0.2
04/ENE/2022,12Hs,32.0,173,10,0.0
04/ENE/2022,15Hs,36.3,198,18,0.0
04/ENE/2022,18Hs,36.1,173,21,0.0
04/ENE/2022,21Hs,28.9,192,14,0.0
05/ENE/2022,00Hs,27.8,166,20,0.0
05/ENE/2022,03Hs,24.4,162,22,0.0
05/ENE/2022,06Hs,20.9,143,26,0.0
05/ENE/2022,09Hs,25.1,122,28,0.0
05/ENE/2022,12Hs,32.6,129,19,0.0
05/ENE/2022,15Hs,36.2,151,18,0.0
05/ENE/2022,18Hs,35.3,145,19,0.0
05/ENE/2022,21Hs,27.4,124,13,0.0
