date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,30.1,42,15,0.0
01/ENE/2022,03Hs,27.5,63,17,0.0
01/ENE/2022,06Hs,26.5,65,16,0.0
01/ENE/2022,09Hs,32.0,29,25,0.0
01/ENE/2022,12Hs,39.6,23,32,0.0
01/ENE/2022,15Hs,43.3,26,29,0.0
01/ENE/2022,18Hs,43.3,34,28,0.0
01/ENE/2022,21Hs,35.9,54,22,0.0
02/ENE/2022,00Hs,33.7,58,15,0.1
02/ENE/2022,03Hs,31.8,15,11,0.0
02/ENE/2022,06Hs,27.1,253,9,0.0
02/ENE/2022,09Hs,31.7,5,24,0.0
02/ENE/2022,12Hs,39.5,19,31,0.0
02/ENE/2022,15Hs,43.3,24,25,0.0
02/ENE/2022,18Hs,43.2,35,22,0.0
02/ENE/2022,21Hs,35.4,51,16,0.0
03/ENE/2022,00Hs,30.9,59,18,0.0
03/ENE/2022,03Hs,31.7,1,20,0.1
03/ENE/2022,06Hs,21.7,114,43,2.1
03/ENE/2022,09Hs,21.7,65,34,4.3
03/ENE/2022,12Hs,27.7,176,7,0.2
03/ENE/2022,15Hs,34.7,42,8,0.0
03/ENE/2022,18Hs,36.8,82,17,0.0
03/ENE/2022,21Hs,30.5,94,12,0.0
04/ENE/2022,00Hs,28.6,47,18,0.0
04/ENE/2022,03Hs,24.3,34,17,0.6
04/ENE/2022,06Hs,22.6,59,12,0.0
04/ENE/2022,09Hs,27.0,13,16,0.0
04/ENE/2022,12Hs,34.9,64,10,0.0
04/ENE/2022,15Hs,39.9,107,13,0.0
04/ENE/2022,18Hs,22.6,214,36,7.3
04/ENE/2022,21Hs,23.1,217,9,2.8
05/ENE/2022,00Hs,22.8,210,5,0.0
05/ENE/2022,03Hs,22.4,235,8,0.0
05/ENE/2022,06Hs,21.2,230,11,0.0
05/ENE/2022,09Hs,25.7,192,11,0.0
05/ENE/2022,12Hs,32.9,158,12,0.0
05/ENE/2022,15Hs,37.2,149,18,0.0
05/ENE/2022,18Hs,36.9,160,23,0.0
05/ENE/2022,21Hs,29.2,180,16,0.0
