date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,27.7,102,10,0.0
01/ENE/2022,03Hs,22.6,113,9,0.0
01/ENE/2022,06Hs,21.5,345,3,0.1
01/ENE/2022,09Hs,25.7,308,2,0.8
01/ENE/2022,12Hs,28.3,120,9,0.6
01/ENE/2022,15Hs,34.4,315,19,0.3
01/ENE/2022,18Hs,33.9,109,8,1.2
01/ENE/2022,21Hs,26.1,75,13,0.2
02/ENE/2022,00Hs,22.3,346,13,1.6
02/ENE/2022,03Hs,22.6,324,4,0.1
02/ENE/2022,06Hs,20.1,323,6,0.2
02/ENE/2022,09Hs,25.0,125,9,0.9
02/ENE/2022,12Hs,35.5,15,13,0.0
02/ENE/2022,15Hs,40.2,329,15,0.0
02/ENE/2022,18Hs,40.8,262,17,0.0
02/ENE/2022,21Hs,32.1,193,13,0.0
03/ENE/2022,00Hs,24.0,122,32,0.1
03/ENE/2022,03Hs,21.0,107,15,0.0
03/ENE/2022,06Hs,19.4,128,10,0.0
03/ENE/2022,09Hs,27.0,85,12,0.0
03/ENE/2022,12Hs,35.2,99,13,0.0
03/ENE/2022,15Hs,39.9,65,10,0.0
03/ENE/2022,18Hs,40.1,47,4,0.0
03/ENE/2022,21Hs,31.6,87,12,0.0
04/ENE/2022,00Hs,21.0,192,38,0.4
04/ENE/2022,03Hs,19.3,184,30,2.5
04/ENE/2022,06Hs,19.1,66,9,0.0
04/ENE/2022,09Hs,25.2,222,11,0.0
04/ENE/2022,12Hs,33.0,238,13,0.0
04/ENE/2022,15Hs,37.4,206,21,0.0
04/ENE/2022,18Hs,37.7,191,25,0.0
04/ENE/2022,21Hs,31.4,177,24,0.0
05/ENE/2022,00Hs,27.4,167,23,0.0
05/ENE/2022,03Hs,21.2,129,27,0.0
05/ENE/2022,06Hs,19.2,128,20,0.0
05/ENE/2022,09Hs,23.2,124,20,0.0
05/ENE/2022,12Hs,30.0,130,16,0.0
05/ENE/2022,15Hs,34.3,144,16,0.0
05/ENE/2022,18Hs,33.9,143,18,0.0
05/ENE/2022,21Hs,25.4,139,15,0.0
