date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,10.9,60,16,0.0
01/ENE/2022,03Hs,10.2,353,23,0.0
01/ENE/2022,06Hs,10.2,334,35,0.0
01/ENE/2022,09Hs,12.9,344,43,0.0
01/ENE/2022,12Hs,16.9,337,47,0.0
01/ENE/2022,15Hs,21.3,332,42,0.0
01/ENE/2022,18Hs,19.4,266,50,0.4
01/ENE/2022,21Hs,12.1,215,36,0.2
02/ENE/2022,00Hs,10.8,221,22,0.0
02/ENE/2022,03Hs,6.9,222,43,0.1
02/ENE/2022,06Hs,6.2,234,36,0.0
02/ENE/2022,09Hs,8.7,239,44,0.0
02/ENE/2022,12Hs,11.7,237,43,0.0
02/ENE/2022,15Hs,13.3,240,40,0.0
02/ENE/2022,18Hs,12.9,212,40,0.0
02/ENE/2022,21Hs,11.2,211,33,0.0
03/ENE/2022,00Hs,8.3,161,18,0.0
03/ENE/2022,03Hs,7.9,66,18,0.0
03/ENE/2022,06Hs,7.3,50,29,0.0
03/ENE/2022,09Hs,11.3,2,36,0.0
03/ENE/2022,12Hs,15.5,296,35,0.0
03/ENE/2022,15Hs,14.0,222,40,0.0
03/ENE/2022,18Hs,13.1,179,26,0.0
03/ENE/2022,21Hs,11.5,188,22,0.2
04/ENE/2022,00Hs,9.6,205,34,0.3
04/ENE/2022,03Hs,7.0,210,43,0.0
04/ENE/2022,06Hs,5.2,221,54,0.0
04/ENE/2022,09Hs,7.6,221,63,0.0
04/ENE/2022,12Hs,11.2,222,50,0.0
04/ENE/2022,15Hs,13.9,220,39,0.0
04/ENE/2022,18Hs,13.0,197,39,0.0
04/ENE/2022,21Hs,9.6,182,26,0.0
05/ENE/2022,00Hs,8.4,22,30,0.0
05/ENE/2022,03Hs,10.0,312,33,0.0
05/ENE/2022,06Hs,9.4,300,23,0.0
05/ENE/2022,09Hs,13.0,277,25,0.0
05/ENE/2022,12Hs,16.5,253,13,0.0
05/ENE/2022,15Hs,19.1,269,11,0.0
05/ENE/2022,18Hs,21.8,269,21,0.0
05/ENE/2022,21Hs,15.8,111,12,0.0
