date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,20.2,176,11,0.0
01/ENE/2022,03Hs,20.6,198,28,0.0
01/ENE/2022,06Hs,16.7,179,20,0.0
01/ENE/2022,09Hs,22.5,185,26,0.0
01/ENE/2022,12Hs,28.3,183,16,0.0
01/ENE/2022,15Hs,32.0,214,7,0.0
01/ENE/2022,18Hs,33.0,287,4,0.0
01/ENE/2022,21Hs,24.3,207,9,0.0
02/ENE/2022,00Hs,19.7,106,2,0.0
02/ENE/2022,03Hs,20.1,174,13,0.0
02/ENE/2022,06Hs,17.2,139,7,0.0
02/ENE/2022,09Hs,26.1,91,11,0.0
02/ENE/2022,12Hs,30.6,55,10,0.0
02/ENE/2022,15Hs,34.9,336,17,0.0
02/ENE/2022,18Hs,33.7,196,23,0.0
02/ENE/2022,21Hs,25.0,203,36,0.0
03/ENE/2022,00Hs,21.1,220,20,0.0
03/ENE/2022,03Hs,17.4,193,14,0.0
03/ENE/2022,06Hs,15.3,208,10,0.0
03/ENE/2022,09Hs,23.3,181,8,0.0
03/ENE/2022,12Hs,29.3,23,5,0.0
03/ENE/2022,15Hs,33.6,355,17,0.0
03/ENE/2022,18Hs,35.2,308,17,0.0
03/ENE/2022,21Hs,27.7,228,15,0.0
04/ENE/2022,00Hs,24.1,192,27,0.0
04/ENE/2022,03Hs,21.7,191,23,0.0
04/ENE/2022,06Hs,17.6,204,14,0.0
04/ENE/2022,09Hs,24.2,199,33,0.0
04/ENE/2022,12Hs,29.7,209,34,0.0
04/ENE/2022,15Hs,31.3,214,35,0.0
04/ENE/2022,18Hs,30.5,203,29,0.0
04/ENE/2022,21Hs,22.2,158,16,0.0
05/ENE/2022,00Hs,16.9,120,15,0.0
05/ENE/2022,03Hs,13.7,80,15,0.0
05/ENE/2022,06Hs,10.8,60,13,0.0
05/ENE/2022,09Hs,20.2,40,22,0.0
05/ENE/2022,12Hs,28.4,35,20,0.0
05/ENE/2022,15Hs,32.2,45,17,0.0
05/ENE/2022,18Hs,32.8,63,16,0.0
05/ENE/2022,21Hs,24.7,67,14,0.0
