date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,24.1,31,10,0.0
01/ENE/2022,03Hs,21.9,149,5,0.0
01/ENE/2022,06Hs,20.3,115,2,0.4
01/ENE/2022,09Hs,24.0,184,17,1.3
01/ENE/2022,12Hs,28.2,237,10,0.2
01/ENE/2022,15Hs,34.5,194,7,0.0
01/ENE/2022,18Hs,31.0,122,41,0.0
01/ENE/2022,21Hs,23.6,133,23,0.0
02/ENE/2022,00Hs,20.7,106,17,0.0
02/ENE/2022,03Hs,19.1,205,3,0.0
02/ENE/2022,06Hs,18.4,20,9,0.0
02/ENE/2022,09Hs,25.1,5,21,0.0
02/ENE/2022,12Hs,31.5,325,26,0.0
02/ENE/2022,15Hs,36.2,295,27,0.0
02/ENE/2022,18Hs,35.9,223,14,0.0
02/ENE/2022,21Hs,28.0,154,29,0.0
03/ENE/2022,00Hs,24.0,107,26,0.0
03/ENE/2022,03Hs,21.1,145,30,0.0
03/ENE/2022,06Hs,18.2,152,22,0.0
03/ENE/2022,09Hs,23.9,308,6,0.0
03/ENE/2022,12Hs,30.5,321,14,0.0
03/ENE/2022,15Hs,35.3,335,26,0.0
03/ENE/2022,18Hs,34.5,297,22,0.0
03/ENE/2022,21Hs,24.5,138,34,0.0
04/ENE/2022,00Hs,20.0,213,4,0.0
04/ENE/2022,03Hs,19.5,32,18,0.0
04/ENE/2022,06Hs,17.8,171,22,0.0
04/ENE/2022,09Hs,22.2,173,31,0.0
04/ENE/2022,12Hs,28.7,138,28,0.0
04/ENE/2022,15Hs,31.3,136,34,0.0
04/ENE/2022,18Hs,29.6,78,21,0.0
04/ENE/2022,21Hs,23.5,153,17,0.0
05/ENE/2022,00Hs,22.6,120,17,0.0
05/ENE/2022,03Hs,22.4,110,27,0.0
05/ENE/2022,06Hs,19.8,104,16,0.0
05/ENE/2022,09Hs,24.3,50,4,0.0
05/ENE/2022,12Hs,29.0,349,14,0.0
05/ENE/2022,15Hs,29.5,338,18,0.0
05/ENE/2022,18Hs,29.1,309,28,0.0
05/ENE/2022,21Hs,23.4,83,20,0.0
