date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,22.3,45,39,0.0
01/ENE/2022,03Hs,22.1,32,39,0.0
01/ENE/2022,06Hs,22.2,17,34,0.0
01/ENE/2022,09Hs,22.5,6,32,0.0
01/ENE/2022,12Hs,23.2,345,29,0.0
01/ENE/2022,15Hs,24.6,10,22,0.0
01/ENE/2022,18Hs,23.4,47,19,2.4
01/ENE/2022,21Hs,22.6,54,35,4.7
02/ENE/2022,00Hs,23.0,38,36,0.0
02/ENE/2022,03Hs,24.1,5,26,0.0
02/ENE/2022,06Hs,23.8,321,27,0.0
02/ENE/2022,09Hs,22.7,303,26,0.0
02/ENE/2022,12Hs,23.0,331,24,0.0
02/ENE/2022,15Hs,23.2,359,31,0.0
02/ENE/2022,18Hs,22.7,242,35,0.2
02/ENE/2022,21Hs,21.7,85,14,1.9
03/ENE/2022,00Hs,21.2,93,24,0.0
03/ENE/2022,03Hs,21.8,95,16,0.0
03/ENE/2022,06Hs,21.3,113,17,0.0
03/ENE/2022,09Hs,21.8,60,14,0.0
03/ENE/2022,12Hs,22.1,45,11,0.0
03/ENE/2022,15Hs,22.6,63,18,0.0
03/ENE/2022,18Hs,22.7,56,36,0.0
03/ENE/2022,21Hs,22.6,47,42,0.0
04/ENE/2022,00Hs,22.9,31,48,0.0
04/ENE/2022,03Hs,23.7,8,38,0.0
04/ENE/2022,06Hs,23.6,284,27,0.0
04/ENE/2022,09Hs,23.3,347,15,0.0
04/ENE/2022,12Hs,23.8,355,11,0.0
04/ENE/2022,15Hs,24.8,145,33,0.0
04/ENE/2022,18Hs,21.4,160,50,0.0
04/ENE/2022,21Hs,19.8,162,53,0.0
05/ENE/2022,00Hs,19.4,161,39,0.0
05/ENE/2022,03Hs,18.6,156,32,0.0
05/ENE/2022,06Hs,18.4,157,28,0.0
05/ENE/2022,09Hs,18.3,152,26,0.0
05/ENE/2022,12Hs,18.5,147,26,0.0
05/ENE/2022,15Hs,18.8,134,28,0.0
05/ENE/2022,18Hs,18.8,131,31,0.0
05/ENE/2022,21Hs,18.8,113,28,0.0
