date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,31.0,58,27,0.0
01/ENE/2022,03Hs,29.3,39,24,0.0
01/ENE/2022,06Hs,28.0,41,26,0.0
01/ENE/2022,09Hs,33.0,17,33,0.0
01/ENE/2022,12Hs,39.9,9,32,0.0
01/ENE/2022,15Hs,43.7,12,26,0.0
01/ENE/2022,18Hs,44.1,24,23,0.0
01/ENE/2022,21Hs,24.9,12,52,0.3
02/ENE/2022,00Hs,23.3,43,2,1.8
02/ENE/2022,03Hs,22.6,127,7,2.1
02/ENE/2022,06Hs,21.9,178,5,0.3
02/ENE/2022,09Hs,25.8,126,8,0.1
02/ENE/2022,12Hs,34.8,358,5,0.1
02/ENE/2022,15Hs,40.2,11,11,0.0
02/ENE/2022,18Hs,40.4,10,10,0.0
02/ENE/2022,21Hs,35.5,182,12,0.0
03/ENE/2022,00Hs,26.1,220,10,0.9
03/ENE/2022,03Hs,23.1,68,9,1.7
03/ENE/2022,06Hs,22.6,309,9,1.3
03/ENE/2022,09Hs,24.3,324,7,0.6
03/ENE/2022,12Hs,31.7,43,11,0.0
03/ENE/2022,15Hs,37.2,45,11,0.0
03/ENE/2022,18Hs,37.7,45,16,0.0
03/ENE/2022,21Hs,31.5,175,1,0.0
04/ENE/2022,00Hs,27.8,19,12,0.2
04/ENE/2022,03Hs,25.1,48,11,0.7
04/ENE/2022,06Hs,22.1,87,10,2.6
04/ENE/2022,09Hs,19.7,140,34,14.4
04/ENE/2022,12Hs,26.5,169,13,2.0
04/ENE/2022,15Hs,31.8,37,9,0.0
04/ENE/2022,18Hs,32.3,17,8,0.0
04/ENE/2022,21Hs,27.6,11,12,0.0
05/ENE/2022,00Hs,26.7,295,7,0.0
05/ENE/2022,03Hs,26.4,235,8,0.0
05/ENE/2022,06Hs,25.4,193,10,0.0
05/ENE/2022,09Hs,27.3,183,18,0.1
05/ENE/2022,12Hs,30.5,187,23,0.2
05/ENE/2022,15Hs,34.9,192,23,0.0
05/ENE/2022,18Hs,33.5,211,22,0.0
05/ENE/2022,21Hs,28.5,230,13,0.0
