date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.0,69,12,0.0
01/ENE/2022,03Hs,23.6,47,11,0.0
01/ENE/2022,06Hs,23.1,26,11,0.0
01/ENE/2022,09Hs,28.0,8,10,0.0
01/ENE/2022,12Hs,33.0,315,15,0.0
01/ENE/2022,15Hs,33.4,328,12,0.0
01/ENE/2022,18Hs,33.7,291,8,0.0
01/ENE/2022,21Hs,26.4,29,5,0.0
02/ENE/2022,00Hs,23.7,13,4,0.0
02/ENE/2022,03Hs,16.9,305,7,1.4
02/ENE/2022,06Hs,17.9,2,5,0.6
02/ENE/2022,09Hs,25.2,341,5,0.0
02/ENE/2022,12Hs,35.7,11,8,0.0
02/ENE/2022,15Hs,38.9,32,10,0.0
02/ENE/2022,18Hs,21.0,114,17,0.9
02/ENE/2022,21Hs,21.7,145,24,0.3
03/ENE/2022,00Hs,19.2,66,10,1.3
03/ENE/2022,03Hs,18.8,170,7,0.0
03/ENE/2022,06Hs,17.8,129,5,0.0
03/ENE/2022,09Hs,26.2,120,7,0.0
03/ENE/2022,12Hs,34.3,157,8,0.0
03/ENE/2022,15Hs,37.0,105,14,0.0
03/ENE/2022,18Hs,34.2,101,13,0.0
03/ENE/2022,21Hs,24.1,103,13,0.0
04/ENE/2022,00Hs,24.5,82,10,0.0
04/ENE/2022,03Hs,22.1,252,10,0.2
04/ENE/2022,06Hs,21.7,178,4,0.0
04/ENE/2022,09Hs,29.5,197,4,0.0
04/ENE/2022,12Hs,28.7,231,7,0.0
04/ENE/2022,15Hs,37.8,210,12,0.0
04/ENE/2022,18Hs,32.4,137,9,0.0
04/ENE/2022,21Hs,28.9,125,28,0.0
05/ENE/2022,00Hs,20.3,124,21,0.0
05/ENE/2022,03Hs,19.2,137,14,0.0
05/ENE/2022,06Hs,17.3,147,10,0.0
05/ENE/2022,09Hs,21.4,131,13,0.0
05/ENE/2022,12Hs,26.3,108,13,0.0
05/ENE/2022,15Hs,27.2,103,17,0.0
05/ENE/2022,18Hs,23.1,110,18,0.0
05/ENE/2022,21Hs,19.9,109,18,0.0
