date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,10.5,43,25,0.0
01/ENE/2022,03Hs,10.8,298,11,0.0
01/ENE/2022,06Hs,10.0,10,15,0.0
01/ENE/2022,09Hs,15.1,357,35,0.0
01/ENE/2022,12Hs,17.3,343,42,0.0
01/ENE/2022,15Hs,23.8,334,40,0.0
01/ENE/2022,18Hs,23.4,269,62,0.0
01/ENE/2022,21Hs,17.0,263,47,0.0
02/ENE/2022,00Hs,13.1,252,32,0.0
02/ENE/2022,03Hs,11.3,251,30,0.0
02/ENE/2022,06Hs,8.0,212,28,0.0
02/ENE/2022,09Hs,9.8,222,23,0.0
02/ENE/2022,12Hs,13.2,244,28,0.0
02/ENE/2022,15Hs,15.3,254,22,0.0
02/ENE/2022,18Hs,11.5,88,23,0.0
02/ENE/2022,21Hs,10.2,85,27,0.0
03/ENE/2022,00Hs,9.6,71,21,0.0
03/ENE/2022,03Hs,9.2,33,11,0.0
03/ENE/2022,06Hs,8.9,341,14,0.0
03/ENE/2022,09Hs,13.2,3,35,0.0
03/ENE/2022,12Hs,18.6,286,36,0.0
03/ENE/2022,15Hs,19.8,255,57,0.0
03/ENE/2022,18Hs,19.1,233,45,0.0
03/ENE/2022,21Hs,13.6,200,30,0.0
04/ENE/2022,00Hs,12.3,216,24,0.2
04/ENE/2022,03Hs,9.7,206,31,0.0
04/ENE/2022,06Hs,7.3,219,37,0.0
04/ENE/2022,09Hs,9.3,209,47,0.0
04/ENE/2022,12Hs,13.8,215,42,0.0
04/ENE/2022,15Hs,16.7,212,32,0.0
04/ENE/2022,18Hs,15.5,136,22,0.0
04/ENE/2022,21Hs,11.3,140,19,0.0
05/ENE/2022,00Hs,10.2,88,14,0.0
05/ENE/2022,03Hs,9.5,10,20,0.0
05/ENE/2022,06Hs,8.8,336,24,0.0
05/ENE/2022,09Hs,15.2,258,21,0.0
05/ENE/2022,12Hs,19.8,252,17,0.0
05/ENE/2022,15Hs,23.4,237,12,0.0
05/ENE/2022,18Hs,18.2,72,25,0.0
05/ENE/2022,21Hs,15.5,34,24,0.0
