date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,24.7,111,15,0.1
01/ENE/2022,03Hs,22.0,102,21,0.0
01/ENE/2022,06Hs,16.6,106,25,1.4
01/ENE/2022,09Hs,18.4,112,47,0.6
01/ENE/2022,12Hs,23.8,103,30,0.1
01/ENE/2022,15Hs,28.8,117,23,0.0
01/ENE/2022,18Hs,29.2,128,27,0.0
01/ENE/2022,21Hs,23.9,116,22,0.2
02/ENE/2022,00Hs,21.7,74,29,0.0
02/ENE/2022,03Hs,20.6,74,18,0.0
02/ENE/2022,06Hs,19.0,99,19,0.0
02/ENE/2022,09Hs,25.2,298,9,0.0
02/ENE/2022,12Hs,31.1,275,18,0.0
02/ENE/2022,15Hs,33.5,234,16,0.0
02/ENE/2022,18Hs,33.6,170,21,0.0
02/ENE/2022,21Hs,27.5,123,22,0.0
03/ENE/2022,00Hs,23.5,111,47,0.0
03/ENE/2022,03Hs,19.7,91,48,0.0
03/ENE/2022,06Hs,18.0,81,44,0.0
03/ENE/2022,09Hs,21.6,82,39,0.0
03/ENE/2022,12Hs,29.0,69,17,0.0
03/ENE/2022,15Hs,34.0,321,33,0.0
03/ENE/2022,18Hs,33.7,335,14,0.0
03/ENE/2022,21Hs,26.5,130,15,0.1
04/ENE/2022,00Hs,21.0,65,33,0.0
04/ENE/2022,03Hs,22.6,353,10,0.0
04/ENE/2022,06Hs,18.5,113,37,0.0
04/ENE/2022,09Hs,21.1,106,50,0.0
04/ENE/2022,12Hs,26.4,105,36,0.0
04/ENE/2022,15Hs,30.2,101,34,0.0
04/ENE/2022,18Hs,30.2,109,32,0.0
04/ENE/2022,21Hs,23.4,59,25,0.0
05/ENE/2022,00Hs,23.9,75,28,0.0
05/ENE/2022,03Hs,21.4,80,33,0.0
05/ENE/2022,06Hs,19.0,68,30,0.0
05/ENE/2022,09Hs,24.4,48,30,0.0
05/ENE/2022,12Hs,26.4,318,24,0.0
05/ENE/2022,15Hs,29.1,305,15,0.0
05/ENE/2022,18Hs,29.2,309,12,0.0
05/ENE/2022,21Hs,25.1,69,16,0.0
