date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,27.3,150,17,0.0
01/ENE/2022,03Hs,25.6,159,25,0.0
01/ENE/2022,06Hs,21.4,176,39,0.0
01/ENE/2022,09Hs,21.6,165,37,0.0
01/ENE/2022,12Hs,26.2,160,28,0.0
01/ENE/2022,15Hs,29.7,146,16,0.0
01/ENE/2022,18Hs,31.5,143,17,0.0
01/ENE/2022,21Hs,27.6,143,16,0.0
02/ENE/2022,00Hs,25.1,126,11,0.0
02/ENE/2022,03Hs,23.0,147,11,0.0
02/ENE/2022,06Hs,21.0,180,9,0.0
02/ENE/2022,09Hs,26.8,216,18,0.0
02/ENE/2022,12Hs,31.9,81,6,0.0
02/ENE/2022,15Hs,35.9,81,12,0.0
02/ENE/2022,18Hs,36.6,114,25,0.0
02/ENE/2022,21Hs,31.3,113,21,0.0
03/ENE/2022,00Hs,27.7,114,14,0.0
03/ENE/2022,03Hs,22.6,166,27,0.0
03/ENE/2022,06Hs,20.8,187,22,0.0
03/ENE/2022,09Hs,23.1,162,28,0.0
03/ENE/2022,12Hs,26.9,145,17,0.0
03/ENE/2022,15Hs,31.0,178,13,0.0
03/ENE/2022,18Hs,33.1,150,14,0.0
03/ENE/2022,21Hs,28.9,162,9,0.0
04/ENE/2022,00Hs,27.1,204,17,0.0
04/ENE/2022,03Hs,25.4,146,32,0.0
04/ENE/2022,06Hs,21.6,192,29,0.0
04/ENE/2022,09Hs,23.9,160,30,0.0
04/ENE/2022,12Hs,28.0,148,23,0.0
04/ENE/2022,15Hs,31.5,132,21,0.0
04/ENE/2022,18Hs,32.6,138,22,0.0
04/ENE/2022,21Hs,28.6,139,23,0.0
05/ENE/2022,00Hs,24.1,33,16,0.0
05/ENE/2022,03Hs,22.8,233,7,0.0
05/ENE/2022,06Hs,22.4,161,11,0.0
05/ENE/2022,09Hs,25.1,125,14,0.0
05/ENE/2022,12Hs,29.8,49,22,0.0
05/ENE/2022,15Hs,32.3,59,26,0.0
05/ENE/2022,18Hs,30.6,41,34,0.6
05/ENE/2022,21Hs,26.8,37,27,0.1
