date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.6,51,19,0.0
01/ENE/2022,03Hs,24.7,44,19,0.0
01/ENE/2022,06Hs,24.0,21,16,0.0
01/ENE/2022,09Hs,28.2,11,5,0.0
01/ENE/2022,12Hs,33.5,317,17,0.0
01/ENE/2022,15Hs,35.1,319,20,0.0
01/ENE/2022,18Hs,34.8,308,15,0.0
01/ENE/2022,21Hs,30.0,322,7,0.0
02/ENE/2022,00Hs,26.5,317,8,0.0
02/ENE/2022,03Hs,21.7,335,10,0.7
02/ENE/2022,06Hs,22.4,327,8,0.2
02/ENE/2022,09Hs,25.3,33,6,0.4
02/ENE/2022,12Hs,33.8,24,13,0.1
02/ENE/2022,15Hs,38.0,12,15,0.0
02/ENE/2022,18Hs,25.9,150,25,0.8
02/ENE/2022,21Hs,19.7,117,19,1.4
03/ENE/2022,00Hs,20.0,160,12,0.6
03/ENE/2022,03Hs,18.6,157,6,0.0
03/ENE/2022,06Hs,18.0,170,7,0.0
03/ENE/2022,09Hs,25.8,78,6,0.0
03/ENE/2022,12Hs,33.9,202,7,0.0
03/ENE/2022,15Hs,38.2,92,7,0.0
03/ENE/2022,18Hs,35.1,53,20,0.0
03/ENE/2022,21Hs,28.2,83,16,0.0
04/ENE/2022,00Hs,26.5,67,19,0.0
04/ENE/2022,03Hs,24.2,231,10,0.2
04/ENE/2022,06Hs,23.2,169,9,0.0
04/ENE/2022,09Hs,24.5,157,6,0.2
04/ENE/2022,12Hs,32.2,231,10,0.0
04/ENE/2022,15Hs,37.3,209,15,0.0
04/ENE/2022,18Hs,36.9,203,27,0.0
04/ENE/2022,21Hs,23.0,126,30,0.0
05/ENE/2022,00Hs,19.4,130,23,0.0
05/ENE/2022,03Hs,17.6,144,15,0.0
05/ENE/2022,06Hs,14.9,150,13,0.0
05/ENE/2022,09Hs,20.4,138,15,0.0
05/ENE/2022,12Hs,26.8,137,12,0.0
05/ENE/2022,15Hs,29.9,90,16,0.0
05/ENE/2022,18Hs,25.2,61,21,0.0
05/ENE/2022,21Hs,20.7,90,20,0.0
