date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,27.3,75,8,0.0
01/ENE/2022,03Hs,24.7,40,10,0.0
01/ENE/2022,06Hs,21.6,142,8,0.2
01/ENE/2022,09Hs,29.0,324,10,0.1
01/ENE/2022,12Hs,33.4,336,7,0.1
01/ENE/2022,15Hs,36.9,74,11,0.2
01/ENE/2022,18Hs,36.8,78,19,0.0
01/ENE/2022,21Hs,21.7,33,17,1.6
02/ENE/2022,00Hs,22.9,161,11,0.0
02/ENE/2022,03Hs,22.2,121,7,0.0
02/ENE/2022,06Hs,20.4,77,9,0.6
02/ENE/2022,09Hs,28.0,105,7,0.4
02/ENE/2022,12Hs,37.3,26,14,0.0
02/ENE/2022,15Hs,41.8,314,11,0.0
02/ENE/2022,18Hs,42.0,283,17,0.0
02/ENE/2022,21Hs,28.3,21,14,0.0
03/ENE/2022,00Hs,25.3,51,8,0.0
03/ENE/2022,03Hs,23.5,86,16,0.0
03/ENE/2022,06Hs,21.2,114,9,0.0
03/ENE/2022,09Hs,28.9,107,8,0.0
03/ENE/2022,12Hs,36.1,48,10,0.0
03/ENE/2022,15Hs,39.9,48,8,0.0
03/ENE/2022,18Hs,40.1,78,6,0.0
03/ENE/2022,21Hs,32.1,129,7,0.0
04/ENE/2022,00Hs,24.7,19,9,0.4
04/ENE/2022,03Hs,20.2,175,23,1.0
04/ENE/2022,06Hs,19.9,181,11,0.7
04/ENE/2022,09Hs,22.8,323,6,2.7
04/ENE/2022,12Hs,30.6,262,10,0.0
04/ENE/2022,15Hs,37.0,216,11,0.0
04/ENE/2022,18Hs,37.2,195,13,0.0
04/ENE/2022,21Hs,30.8,200,13,0.0
05/ENE/2022,00Hs,27.0,158,13,0.0
05/ENE/2022,03Hs,23.7,142,22,0.0
05/ENE/2022,06Hs,20.6,131,23,0.0
05/ENE/2022,09Hs,24.4,118,22,0.0
05/ENE/2022,12Hs,31.4,120,17,0.0
05/ENE/2022,15Hs,35.4,130,13,0.0
05/ENE/2022,18Hs,35.3,137,17,0.0
05/ENE/2022,21Hs,27.7,143,14,0.0
