date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,18.4,74,9,0.0
01/ENE/2022,03Hs,16.4,29,10,0.0
01/ENE/2022,06Hs,16.3,4,12,0.0
01/ENE/2022,09Hs,26.7,298,21,0.0
01/ENE/2022,12Hs,32.3,248,16,0.0
01/ENE/2022,15Hs,35.8,282,24,0.0
01/ENE/2022,18Hs,34.3,291,26,0.0
01/ENE/2022,21Hs,24.4,185,6,0.0
02/ENE/2022,00Hs,16.7,123,13,0.0
02/ENE/2022,03Hs,16.1,87,7,0.0
02/ENE/2022,06Hs,16.4,239,7,0.0
02/ENE/2022,09Hs,26.3,209,7,0.0
02/ENE/2022,12Hs,33.9,199,4,0.0
02/ENE/2022,15Hs,37.4,271,3,0.0
02/ENE/2022,18Hs,31.1,195,50,0.0
02/ENE/2022,21Hs,21.2,136,27,0.0
03/ENE/2022,00Hs,16.6,102,11,0.0
03/ENE/2022,03Hs,14.9,79,6,0.0
03/ENE/2022,06Hs,13.4,334,6,0.0
03/ENE/2022,09Hs,23.9,331,14,0.0
03/ENE/2022,12Hs,32.2,290,23,0.0
03/ENE/2022,15Hs,35.6,266,19,0.0
03/ENE/2022,18Hs,35.3,268,19,0.0
03/ENE/2022,21Hs,25.6,185,10,0.0
04/ENE/2022,00Hs,18.5,127,11,0.0
04/ENE/2022,03Hs,16.7,64,5,0.0
04/ENE/2022,06Hs,17.4,295,10,0.0
04/ENE/2022,09Hs,26.8,237,17,0.0
04/ENE/2022,12Hs,31.8,231,27,0.0
04/ENE/2022,15Hs,33.2,229,26,0.0
04/ENE/2022,18Hs,23.6,177,38,0.0
04/ENE/2022,21Hs,16.5,167,28,0.0
05/ENE/2022,00Hs,12.3,167,17,0.0
05/ENE/2022,03Hs,9.1,166,11,0.0
05/ENE/2022,06Hs,8.6,167,9,0.0
05/ENE/2022,09Hs,17.8,116,12,0.0
05/ENE/2022,12Hs,24.8,119,12,0.0
05/ENE/2022,15Hs,29.1,111,14,0.0
05/ENE/2022,18Hs,29.0,104,16,0.0
05/ENE/2022,21Hs,18.0,89,26,0.0
