date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.9,335,6,0.0
01/ENE/2022,03Hs,25.2,336,6,0.0
01/ENE/2022,06Hs,23.6,338,6,0.0
01/ENE/2022,09Hs,30.5,35,9,0.0
01/ENE/2022,12Hs,38.8,41,21,0.0
01/ENE/2022,15Hs,42.1,46,21,0.0
01/ENE/2022,18Hs,40.8,49,21,0.0
01/ENE/2022,21Hs,31.3,5,14,0.2
02/ENE/2022,00Hs,31.2,20,16,0.0
02/ENE/2022,03Hs,24.2,12,6,0.0
02/ENE/2022,06Hs,22.0,277,5,0.0
02/ENE/2022,09Hs,28.4,92,1,0.0
02/ENE/2022,12Hs,35.3,91,7,0.0
02/ENE/2022,15Hs,40.1,61,10,0.0
02/ENE/2022,18Hs,39.7,80,16,0.0
02/ENE/2022,21Hs,24.4,314,11,0.6
03/ENE/2022,00Hs,22.6,298,10,0.1
03/ENE/2022,03Hs,23.7,276,5,0.0
03/ENE/2022,06Hs,22.3,260,7,0.0
03/ENE/2022,09Hs,25.3,194,16,0.0
03/ENE/2022,12Hs,30.1,220,10,0.0
03/ENE/2022,15Hs,35.2,141,12,0.0
03/ENE/2022,18Hs,35.5,104,5,0.0
03/ENE/2022,21Hs,28.3,329,8,0.0
04/ENE/2022,00Hs,24.6,340,6,0.0
04/ENE/2022,03Hs,23.3,6,5,0.0
04/ENE/2022,06Hs,21.0,338,4,0.0
04/ENE/2022,09Hs,28.2,71,4,0.0
04/ENE/2022,12Hs,35.7,79,11,0.0
04/ENE/2022,15Hs,39.4,84,12,0.0
04/ENE/2022,18Hs,37.4,150,21,0.0
04/ENE/2022,21Hs,19.2,251,13,4.0
05/ENE/2022,00Hs,18.9,278,9,1.0
05/ENE/2022,03Hs,19.1,277,7,2.6
05/ENE/2022,06Hs,18.8,287,8,0.6
05/ENE/2022,09Hs,23.8,256,8,0.2
05/ENE/2022,12Hs,31.5,177,14,0.0
05/ENE/2022,15Hs,34.7,165,14,0.0
05/ENE/2022,18Hs,33.3,158,9,0.0
05/ENE/2022,21Hs,27.9,260,11,0.0
