date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,29.9,45,21,0.0
01/ENE/2022,03Hs,28.3,52,26,0.0
01/ENE/2022,06Hs,26.5,20,21,0.0
01/ENE/2022,09Hs,30.7,23,27,0.0
01/ENE/2022,12Hs,38.9,26,28,0.0
01/ENE/2022,15Hs,43.4,37,27,0.0
01/ENE/2022,18Hs,43.1,53,24,0.0
01/ENE/2022,21Hs,23.1,26,23,1.2
02/ENE/2022,00Hs,22.9,354,29,1.0
02/ENE/2022,03Hs,21.6,78,10,1.6
02/ENE/2022,06Hs,21.0,359,5,0.8
02/ENE/2022,09Hs,26.2,31,10,0.0
02/ENE/2022,12Hs,33.9,36,9,0.0
02/ENE/2022,15Hs,38.6,35,12,0.0
02/ENE/2022,18Hs,39.6,40,6,0.0
02/ENE/2022,21Hs,25.0,322,30,0.0
03/ENE/2022,00Hs,26.0,325,21,0.2
03/ENE/2022,03Hs,20.7,43,10,2.2
03/ENE/2022,06Hs,21.7,322,9,1.5
03/ENE/2022,09Hs,26.0,345,11,1.2
03/ENE/2022,12Hs,33.5,87,16,0.0
03/ENE/2022,15Hs,37.3,60,12,0.0
03/ENE/2022,18Hs,37.6,81,18,0.0
03/ENE/2022,21Hs,30.6,114,12,0.0
04/ENE/2022,00Hs,28.2,55,21,0.0
04/ENE/2022,03Hs,25.3,7,8,0.0
04/ENE/2022,06Hs,21.9,87,9,1.7
04/ENE/2022,09Hs,21.2,135,31,5.2
04/ENE/2022,12Hs,24.2,159,9,3.6
04/ENE/2022,15Hs,29.9,99,11,0.1
04/ENE/2022,18Hs,31.7,96,9,0.0
04/ENE/2022,21Hs,25.8,79,9,0.0
05/ENE/2022,00Hs,24.6,10,6,0.0
05/ENE/2022,03Hs,24.2,269,9,0.0
05/ENE/2022,06Hs,22.4,261,11,0.0
05/ENE/2022,09Hs,23.9,232,19,1.2
05/ENE/2022,12Hs,27.2,201,21,0.7
05/ENE/2022,15Hs,31.1,227,23,0.4
05/ENE/2022,18Hs,32.0,222,18,0.0
05/ENE/2022,21Hs,25.2,259,15,0.0
