date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,20.8,241,35,0.0
01/ENE/2022,03Hs,19.2,258,30,0.0
01/ENE/2022,06Hs,16.8,252,33,0.0
01/ENE/2022,09Hs,20.1,263,32,0.0
01/ENE/2022,12Hs,24.8,278,32,0.0
01/ENE/2022,15Hs,28.4,289,33,0.0
01/ENE/2022,18Hs,25.1,283,54,0.0
01/ENE/2022,21Hs,22.8,298,53,0.0
02/ENE/2022,00Hs,21.4,295,48,0.0
02/ENE/2022,03Hs,19.9,275,38,0.0
02/ENE/2022,06Hs,18.6,272,45,0.0
02/ENE/2022,09Hs,19.2,253,47,0.0
02/ENE/2022,12Hs,20.3,244,52,0.0
02/ENE/2022,15Hs,21.3,264,48,0.0
02/ENE/2022,18Hs,21.7,249,50,0.0
02/ENE/2022,21Hs,19.6,243,31,0.0
03/ENE/2022,00Hs,17.4,257,18,0.0
03/ENE/2022,03Hs,14.4,247,11,0.0
03/ENE/2022,06Hs,15.1,357,19,0.0
03/ENE/2022,09Hs,19.6,317,38,0.0
03/ENE/2022,12Hs,24.0,287,39,0.0
03/ENE/2022,15Hs,29.8,274,51,0.0
03/ENE/2022,18Hs,25.9,271,56,0.0
03/ENE/2022,21Hs,24.7,257,48,0.0
04/ENE/2022,00Hs,18.6,249,51,0.0
04/ENE/2022,03Hs,15.4,240,55,0.0
04/ENE/2022,06Hs,13.1,258,48,0.0
04/ENE/2022,09Hs,16.1,236,51,0.0
04/ENE/2022,12Hs,20.5,227,38,0.0
04/ENE/2022,15Hs,19.7,149,34,0.0
04/ENE/2022,18Hs,17.5,136,29,0.0
04/ENE/2022,21Hs,14.3,92,23,0.0
05/ENE/2022,00Hs,13.4,53,24,0.0
05/ENE/2022,03Hs,13.1,359,27,0.0
05/ENE/2022,06Hs,13.4,351,27,0.0
05/ENE/2022,09Hs,20.0,264,21,0.0
05/ENE/2022,12Hs,24.7,246,22,0.0
05/ENE/2022,15Hs,27.9,226,17,0.0
05/ENE/2022,18Hs,25.1,86,26,0.0
05/ENE/2022,21Hs,20.1,90,23,0.0
