date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.2,235,10,0.0
01/ENE/2022,03Hs,18.5,259,10,0.3
01/ENE/2022,06Hs,15.2,203,11,0.6
01/ENE/2022,09Hs,22.7,171,17,0.4
01/ENE/2022,12Hs,30.3,151,13,0.1
01/ENE/2022,15Hs,35.0,346,4,0.0
01/ENE/2022,18Hs,34.7,297,4,0.0
01/ENE/2022,21Hs,26.0,336,9,0.0
02/ENE/2022,00Hs,22.1,232,10,0.0
02/ENE/2022,03Hs,20.8,135,9,0.0
02/ENE/2022,06Hs,20.0,195,11,0.0
02/ENE/2022,09Hs,28.6,152,19,0.0
02/ENE/2022,12Hs,34.9,28,15,0.0
02/ENE/2022,15Hs,36.6,302,18,0.0
02/ENE/2022,18Hs,38.4,248,24,0.0
02/ENE/2022,21Hs,23.7,280,11,0.0
03/ENE/2022,00Hs,21.6,142,13,0.0
03/ENE/2022,03Hs,18.8,102,7,0.0
03/ENE/2022,06Hs,16.5,309,5,0.0
03/ENE/2022,09Hs,25.5,184,9,0.0
03/ENE/2022,12Hs,33.9,257,3,0.0
03/ENE/2022,15Hs,37.1,7,7,0.0
03/ENE/2022,18Hs,38.2,333,10,0.0
03/ENE/2022,21Hs,23.6,220,13,1.0
04/ENE/2022,00Hs,19.9,0,10,1.8
04/ENE/2022,03Hs,18.3,258,17,0.0
04/ENE/2022,06Hs,16.4,198,16,0.0
04/ENE/2022,09Hs,26.2,189,24,0.0
04/ENE/2022,12Hs,31.9,203,30,0.0
04/ENE/2022,15Hs,34.5,206,31,0.0
04/ENE/2022,18Hs,33.4,210,27,0.0
04/ENE/2022,21Hs,24.5,192,16,0.0
05/ENE/2022,00Hs,20.8,108,26,0.0
05/ENE/2022,03Hs,16.9,96,23,0.0
05/ENE/2022,06Hs,12.9,89,12,0.0
05/ENE/2022,09Hs,20.7,79,18,0.0
05/ENE/2022,12Hs,28.4,103,15,0.0
05/ENE/2022,15Hs,32.3,109,15,0.0
05/ENE/2022,18Hs,32.6,103,16,0.0
05/ENE/2022,21Hs,23.8,82,15,0.0
