date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,27.2,9,10,0.0
01/ENE/2022,03Hs,27.9,11,11,0.0
01/ENE/2022,06Hs,23.0,234,2,0.0
01/ENE/2022,09Hs,29.8,142,7,0.0
01/ENE/2022,12Hs,38.2,164,8,0.0
01/ENE/2022,15Hs,42.5,202,7,0.0
01/ENE/2022,18Hs,40.2,188,19,0.1
01/ENE/2022,21Hs,22.7,28,22,3.4
02/ENE/2022,00Hs,23.3,357,14,0.6
02/ENE/2022,03Hs,21.3,272,7,1.0
02/ENE/2022,06Hs,20.2,298,3,1.2
02/ENE/2022,09Hs,24.8,87,7,0.0
02/ENE/2022,12Hs,33.7,115,10,0.0
02/ENE/2022,15Hs,38.6,118,14,0.0
02/ENE/2022,18Hs,39.7,129,13,0.0
02/ENE/2022,21Hs,20.4,319,31,1.8
03/ENE/2022,00Hs,24.6,321,22,0.1
03/ENE/2022,03Hs,21.1,22,13,0.4
03/ENE/2022,06Hs,19.9,321,7,0.4
03/ENE/2022,09Hs,26.2,347,7,0.0
03/ENE/2022,12Hs,35.0,123,12,0.0
03/ENE/2022,15Hs,37.9,100,14,0.0
03/ENE/2022,18Hs,37.1,53,21,0.0
03/ENE/2022,21Hs,23.8,346,12,1.4
04/ENE/2022,00Hs,22.9,12,8,1.1
04/ENE/2022,03Hs,22.8,328,5,0.0
04/ENE/2022,06Hs,22.3,358,6,0.1
04/ENE/2022,09Hs,22.3,211,24,2.9
04/ENE/2022,12Hs,21.5,173,9,3.1
04/ENE/2022,15Hs,24.7,232,7,0.9
04/ENE/2022,18Hs,28.5,246,8,0.0
04/ENE/2022,21Hs,23.8,327,8,0.0
05/ENE/2022,00Hs,22.3,345,6,0.0
05/ENE/2022,03Hs,20.1,311,9,0.6
05/ENE/2022,06Hs,19.7,309,7,0.8
05/ENE/2022,09Hs,22.9,245,10,2.1
05/ENE/2022,12Hs,25.5,189,19,2.6
05/ENE/2022,15Hs,29.4,179,17,0.4
05/ENE/2022,18Hs,30.0,205,15,0.0
05/ENE/2022,21Hs,22.9,268,9,0.0
