date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,18.4,264,3,0.0
01/ENE/2022,03Hs,17.2,174,9,0.0
01/ENE/2022,06Hs,14.6,185,14,0.0
01/ENE/2022,09Hs,13.8,151,15,0.0
01/ENE/2022,12Hs,17.1,129,15,0.0
01/ENE/2022,15Hs,19.7,95,14,0.0
01/ENE/2022,18Hs,21.2,97,15,0.0
01/ENE/2022,21Hs,19.0,105,9,0.0
02/ENE/2022,00Hs,16.7,94,3,0.0
02/ENE/2022,03Hs,15.3,127,2,0.0
02/ENE/2022,06Hs,13.5,173,2,0.0
02/ENE/2022,09Hs,16.9,103,4,0.0
02/ENE/2022,12Hs,22.0,81,18,0.0
02/ENE/2022,15Hs,24.2,87,19,0.0
02/ENE/2022,18Hs,24.8,92,16,0.0
02/ENE/2022,21Hs,22.2,98,9,0.0
03/ENE/2022,00Hs,19.9,54,6,0.0
03/ENE/2022,03Hs,14.1,176,13,0.0
03/ENE/2022,06Hs,12.5,173,10,0.0
03/ENE/2022,09Hs,15.3,141,10,0.0
03/ENE/2022,12Hs,16.4,96,16,0.0
03/ENE/2022,15Hs,19.9,108,14,0.0
03/ENE/2022,18Hs,21.4,127,16,0.0
03/ENE/2022,21Hs,20.1,116,7,0.0
04/ENE/2022,00Hs,18.8,228,11,0.0
04/ENE/2022,03Hs,17.3,123,8,0.0
04/ENE/2022,06Hs,13.9,230,12,0.0
04/ENE/2022,09Hs,15.2,165,15,0.0
04/ENE/2022,12Hs,17.8,110,15,0.0
04/ENE/2022,15Hs,19.6,106,15,0.0
04/ENE/2022,18Hs,20.8,116,14,0.0
04/ENE/2022,21Hs,19.3,120,15,0.0
05/ENE/2022,00Hs,17.0,84,10,0.3
05/ENE/2022,03Hs,16.1,150,5,0.0
05/ENE/2022,06Hs,14.3,50,4,0.0
05/ENE/2022,09Hs,16.2,75,9,0.0
05/ENE/2022,12Hs,17.5,66,14,1.2
05/ENE/2022,15Hs,18.5,66,14,2.1
05/ENE/2022,18Hs,17.3,33,20,1.4
05/ENE/2022,21Hs,17.1,43,16,1.1
