date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,19.4,8,23,0.0
01/ENE/2022,03Hs,19.3,262,30,0.0
01/ENE/2022,06Hs,17.2,277,22,0.0
01/ENE/2022,09Hs,21.0,255,23,0.0
01/ENE/2022,12Hs,23.1,250,18,0.0
01/ENE/2022,15Hs,25.6,280,11,0.0
01/ENE/2022,18Hs,26.5,278,25,0.0
01/ENE/2022,21Hs,25.9,287,29,0.0
02/ENE/2022,00Hs,22.6,282,40,0.0
02/ENE/2022,03Hs,20.8,285,38,0.0
02/ENE/2022,06Hs,21.2,290,38,0.0
02/ENE/2022,09Hs,23.0,279,41,0.0
02/ENE/2022,12Hs,17.9,266,35,1.2
02/ENE/2022,15Hs,16.9,310,26,3.4
02/ENE/2022,18Hs,19.2,186,44,0.0
02/ENE/2022,21Hs,16.7,89,6,0.0
03/ENE/2022,00Hs,15.2,355,12,0.0
03/ENE/2022,03Hs,14.2,339,16,0.0
03/ENE/2022,06Hs,13.6,333,17,0.0
03/ENE/2022,09Hs,20.4,343,33,0.0
03/ENE/2022,12Hs,25.5,293,38,0.0
03/ENE/2022,15Hs,28.3,272,39,0.0
03/ENE/2022,18Hs,27.1,274,39,0.0
03/ENE/2022,21Hs,26.3,291,36,0.0
04/ENE/2022,00Hs,22.5,273,41,0.0
04/ENE/2022,03Hs,20.9,269,40,0.0
04/ENE/2022,06Hs,18.5,226,36,0.0
04/ENE/2022,09Hs,17.9,217,43,0.0
04/ENE/2022,12Hs,18.7,226,41,0.0
04/ENE/2022,15Hs,19.8,218,31,0.0
04/ENE/2022,18Hs,18.1,134,19,0.0
04/ENE/2022,21Hs,16.0,123,16,0.0
05/ENE/2022,00Hs,15.3,94,20,0.0
05/ENE/2022,03Hs,14.1,43,13,0.0
05/ENE/2022,06Hs,13.4,358,14,0.0
05/ENE/2022,09Hs,19.4,338,21,0.0
05/ENE/2022,12Hs,25.3,304,14,0.0
05/ENE/2022,15Hs,25.7,170,15,0.0
05/ENE/2022,18Hs,24.4,106,15,0.0
05/ENE/2022,21Hs,20.5,39,23,0.0
