date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.3,68,15,0.0
01/ENE/2022,03Hs,25.0,59,14,0.0
01/ENE/2022,06Hs,21.9,342,4,0.1
01/ENE/2022,09Hs,30.1,346,21,0.4
01/ENE/2022,12Hs,33.6,346,27,0.9
01/ENE/2022,15Hs,37.6,347,21,0.0
01/ENE/2022,18Hs,37.3,307,19,0.0
01/ENE/2022,21Hs,29.4,288,12,0.0
02/ENE/2022,00Hs,22.2,72,14,0.0
02/ENE/2022,03Hs,21.2,341,9,0.0
02/ENE/2022,06Hs,20.1,11,3,0.0
02/ENE/2022,09Hs,27.4,350,18,0.0
02/ENE/2022,12Hs,33.9,303,19,0.0
02/ENE/2022,15Hs,37.0,271,16,0.0
02/ENE/2022,18Hs,36.8,286,7,0.0
02/ENE/2022,21Hs,28.0,130,10,0.0
03/ENE/2022,00Hs,26.0,88,13,0.0
03/ENE/2022,03Hs,24.4,72,13,0.0
03/ENE/2022,06Hs,21.5,61,12,0.0
03/ENE/2022,09Hs,26.8,255,9,0.0
03/ENE/2022,12Hs,32.0,273,9,0.0
03/ENE/2022,15Hs,36.7,290,19,0.0
03/ENE/2022,18Hs,37.3,313,23,0.0
03/ENE/2022,21Hs,26.0,51,14,0.2
04/ENE/2022,00Hs,19.2,87,22,1.3
04/ENE/2022,03Hs,20.1,79,10,1.9
04/ENE/2022,06Hs,21.2,80,8,0.0
04/ENE/2022,09Hs,24.1,170,17,0.0
04/ENE/2022,12Hs,31.8,276,12,0.0
04/ENE/2022,15Hs,33.8,313,21,0.0
04/ENE/2022,18Hs,21.2,147,38,3.4
04/ENE/2022,21Hs,20.5,69,16,5.2
05/ENE/2022,00Hs,21.2,68,11,0.9
05/ENE/2022,03Hs,20.7,72,10,0.4
05/ENE/2022,06Hs,20.1,71,7,0.0
05/ENE/2022,09Hs,23.9,326,8,0.0
05/ENE/2022,12Hs,26.0,270,7,0.0
05/ENE/2022,15Hs,29.5,220,12,0.0
05/ENE/2022,18Hs,30.1,137,14,0.0
05/ENE/2022,21Hs,24.4,71,20,0.0
