date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,19.1,35,25,0.0
01/ENE/2022,03Hs,21.0,26,24,0.0
01/ENE/2022,06Hs,20.1,5,15,0.0
01/ENE/2022,09Hs,28.9,335,33,0.0
01/ENE/2022,12Hs,35.8,301,30,0.0
01/ENE/2022,15Hs,35.9,293,29,0.0
01/ENE/2022,18Hs,28.3,68,29,0.4
01/ENE/2022,21Hs,18.0,34,8,0.4
02/ENE/2022,00Hs,17.4,141,11,0.1
02/ENE/2022,03Hs,17.1,65,10,0.0
02/ENE/2022,06Hs,17.6,346,11,0.0
02/ENE/2022,09Hs,23.3,309,17,0.0
02/ENE/2022,12Hs,29.8,283,15,0.0
02/ENE/2022,15Hs,36.4,262,10,0.0
02/ENE/2022,18Hs,18.7,357,19,7.1
02/ENE/2022,21Hs,18.0,121,10,0.8
03/ENE/2022,00Hs,16.9,151,10,0.0
03/ENE/2022,03Hs,16.2,40,13,0.0
03/ENE/2022,06Hs,16.5,38,12,0.0
03/ENE/2022,09Hs,24.1,16,5,0.0
03/ENE/2022,12Hs,31.7,342,11,0.0
03/ENE/2022,15Hs,37.3,294,16,0.0
03/ENE/2022,18Hs,37.1,271,18,0.0
03/ENE/2022,21Hs,21.2,51,16,0.0
04/ENE/2022,00Hs,19.6,44,16,0.0
04/ENE/2022,03Hs,19.5,314,5,0.0
04/ENE/2022,06Hs,20.1,317,12,0.2
04/ENE/2022,09Hs,27.1,241,31,0.0
04/ENE/2022,12Hs,34.9,237,20,0.0
04/ENE/2022,15Hs,25.2,91,32,0.0
04/ENE/2022,18Hs,22.3,156,43,0.0
04/ENE/2022,21Hs,16.8,160,24,0.0
05/ENE/2022,00Hs,12.6,184,13,0.0
05/ENE/2022,03Hs,10.7,198,11,0.0
05/ENE/2022,06Hs,11.0,195,11,0.0
05/ENE/2022,09Hs,19.6,156,16,0.0
05/ENE/2022,12Hs,25.2,124,21,0.0
05/ENE/2022,15Hs,25.3,114,26,0.0
05/ENE/2022,18Hs,21.3,116,26,0.0
05/ENE/2022,21Hs,13.7,98,14,0.0
