station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
AEROPARQUE,04/ENE/2022,00Hs,24.4,31,8,0.0
AEROPARQUE,04/ENE/2022,03Hs,22.6,332,6,0.0
AEROPARQUE,04/ENE/2022,06Hs,21.5,280,6,0.0
AEROPARQUE,04/ENE/2022,09Hs,24.9,287,9,1.9
AEROPARQUE,04/ENE/2022,12Hs,34.1,234,13,0.0
AEROPARQUE,04/ENE/2022,15Hs,35.6,186,9,0.0
AEROPARQUE,04/ENE/2022,18Hs,35.4,190,19,0.0
AEROPARQUE,04/ENE/2022,21Hs,21.4,112,33,0.0
AEROPARQUE,05/ENE/2022,00Hs,20.7,116,29,0.0
AEROPARQUE,05/ENE/2022,03Hs,19.7,133,18,0.0
AEROPARQUE,05/ENE/2022,06Hs,18.2,146,13,0.0
AEROPARQUE,05/ENE/2022,09Hs,20.9,134,15,0.0
AEROPARQUE,05/ENE/2022,12Hs,23.5,125,15,0.0
AEROPARQUE,05/ENE/2022,15Hs,25.7,109,15,0.0
AEROPARQUE,05/ENE/2022,18Hs,22.7,114,21,0.0
AEROPARQUE,05/ENE/2022,21Hs,20.1,103,20,0.0
AEROPARQUE,06/ENE/2022,00Hs,19.0,95,19,0.0
AEROPARQUE,06/ENE/2022,03Hs,16.3,69,14,0.0
AEROPARQUE,06/ENE/2022,06Hs,14.7,54,10,0.0
AEROPARQUE,06/ENE/2022,09Hs,21.2,48,11,0.0
AEROPARQUE,06/ENE/2022,12Hs,28.0,95,11,0.0
AEROPARQUE,06/ENE/2022,15Hs,29.4,115,14,0.0
AEROPARQUE,06/ENE/2022,18Hs,25.7,114,17,0.0
AEROPARQUE,06/ENE/2022,21Hs,22.0,117,18,0.0
AEROPARQUE,07/ENE/2022,00Hs,22.2,86,16,0.0
AEROPARQUE,07/ENE/2022,03Hs,20.9,52,13,0.0
AEROPARQUE,07/ENE/2022,06Hs,17.5,53,10,0.0
AEROPARQUE,07/ENE/2022,09Hs,22.5,36,12,0.0
AEROPARQUE,07/ENE/2022,12Hs,26.6,112,7,0.0
AEROPARQUE,07/ENE/2022,15Hs,28.1,126,13,0.0
AEROPARQUE,07/ENE/2022,18Hs,26.1,116,14,0.0
AEROPARQUE,07/ENE/2022,21Hs,22.5,121,16,0.0
AEROPARQUE,08/ENE/2022,00Hs,23.3,113,14,0.0
AEROPARQUE,08/ENE/2022,03Hs,22.1,74,11,0.0
AEROPARQUE,08/ENE/2022,06Hs,19.4,55,11,0.0
AEROPARQUE,08/ENE/2022,09Hs,23.4,89,13,0.0
AEROPARQUE,08/ENE/2022,12Hs,28.5,113,11,0.0
AEROPARQUE,08/ENE/2022,15Hs,28.2,133,17,0.0
AEROPARQUE,08/ENE/2022,18Hs,25.9,123,21,0.0
AEROPARQUE,08/ENE/2022,21Hs,23.1,124,20,0.0
AZUL_AERO,04/ENE/2022,00Hs,23.0,63,5,0.0
AZUL_AERO,04/ENE/2022,03Hs,20.3,276,5,0.0
AZUL_AERO,04/ENE/2022,06Hs,18.5,205,15,0.0
AZUL_AERO,04/ENE/2022,09Hs,24.5,209,31,0.0
AZUL_AERO,04/ENE/2022,12Hs,30.2,224,25,0.0
AZUL_AERO,04/ENE/2022,15Hs,33.1,226,27,0.0
AZUL_AERO,04/ENE/2022,18Hs,29.8,185,33,0.0
AZUL_AERO,04/ENE/2022,21Hs,19.7,148,31,0.0
AZUL_AERO,05/ENE/2022,00Hs,14.0,136,20,0.0
AZUL_AERO,05/ENE/2022,03Hs,9.5,104,7,0.0
AZUL_AERO,05/ENE/2022,06Hs,7.7,107,6,0.0
AZUL_AERO,05/ENE/2022,09Hs,17.7,87,9,0.0
AZUL_AERO,05/ENE/2022,12Hs,27.0,100,7,0.0
AZUL_AERO,05/ENE/2022,15Hs,31.1,98,9,0.0
AZUL_AERO,05/ENE/2022,18Hs,30.8,87,14,0.0
AZUL_AERO,05/ENE/2022,21Hs,22.0,67,15,0.0
AZUL_AERO,06/ENE/2022,00Hs,16.1,53,25,0.0
AZUL_AERO,06/ENE/2022,03Hs,11.9,56,12,0.0
AZUL_AERO,06/ENE/2022,06Hs,10.7,47,13,0.0
AZUL_AERO,06/ENE/2022,09Hs,21.9,17,20,0.0
AZUL_AERO,06/ENE/2022,12Hs,30.4,3,19,0.0
AZUL_AERO,06/ENE/2022,15Hs,34.0,23,17,0.0
AZUL_AERO,06/ENE/2022,18Hs,33.4,21,17,0.0
AZUL_AERO,06/ENE/2022,21Hs,26.1,54,13,0.0
AZUL_AERO,07/ENE/2022,00Hs,23.4,44,20,0.0
AZUL_AERO,07/ENE/2022,03Hs,17.6,42,16,0.0
AZUL_AERO,07/ENE/2022,06Hs,15.4,43,8,0.0
AZUL_AERO,07/ENE/2022,09Hs,22.7,351,16,0.0
AZUL_AERO,07/ENE/2022,12Hs,30.2,337,16,0.0
AZUL_AERO,07/ENE/2022,15Hs,30.6,29,10,0.0
AZUL_AERO,07/ENE/2022,18Hs,30.6,74,23,0.0
AZUL_AERO,07/ENE/2022,21Hs,23.6,62,12,0.0
